rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Detroit Red Wings"1,"DET","82"2,"54"3,"21"4,"7"5,"115"6,".701"7,"257"8,"184"9,"0.93"10,"0.04"11,"5.38"12,"81"13,"391"14,"20.72"15,"57"16,"357"17,"84.03"18,"5"19,"7"20,"2820"21,"8.9"22,"1926"23,".909"24,"99.9"
"2"0,"San Jose Sharks"1,"SJS","82"2,"49"3,"23"4,"10"5,"108"6,".659"7,"222"8,"193"9,"0.47"10,"0.12"11,"5.06"12,"70"13,"374"14,"18.72"15,"44"16,"310"17,"85.81"18,"7"19,"9"20,"2428"21,"8.9"22,"1975"23,".908"24,"99.5"
"3"0,"Montreal Canadiens"1,"MTL","82"2,"47"3,"25"4,"10"5,"104"6,".634"7,"262"8,"222"9,"0.35"10,"-0.14"11,"5.90"12,"90"13,"374"14,"24.06"15,"60"16,"342"17,"82.46"18,"8"19,"3"20,"2383"21,"10.8"22,"2583"23,".919"24,"102.6"
"4"0,"Anaheim Ducks"1,"ANA","82"2,"47"3,"27"4,"8"5,"102"6,".622"7,"205"8,"191"9,"0.30"10,"0.13"11,"4.83"12,"60"13,"361"14,"16.62"15,"69"16,"408"17,"83.09"18,"8"19,"7"20,"2241"21,"8.8"22,"2294"23,".922"24,"101.0"
"5"0,"Pittsburgh Penguins"1,"PIT","82"2,"47"3,"27"4,"8"5,"102"6,".622"7,"247"8,"216"9,"0.24"10,"-0.14"11,"5.65"12,"77"13,"378"14,"20.37"15,"68"16,"357"17,"80.95"18,"6"19,"10"20,"2269"21,"10.6"22,"2518"23,".918"24,"102.4"
"6"0,"New Jersey Devils"1,"NJD","82"2,"46"3,"29"4,"7"5,"99"6,".604"7,"206"8,"197"9,"0.00"10,"-0.11"11,"4.91"12,"50"13,"320"14,"15.63"15,"54"16,"314"17,"82.80"18,"6"19,"7"20,"2362"21,"8.4"22,"2249"23,".918"24,"99.9"
"7"0,"Minnesota Wild"1,"MIN","82"2,"44"3,"28"4,"10"5,"98"6,".598"7,"223"8,"218"9,"0.16"10,"0.10"11,"5.38"12,"64"13,"338"14,"18.93"15,"49"16,"330"17,"85.15"18,"3"19,"10"20,"2218"21,"9.9"22,"2467"23,".916"24,"101.6"
"8"0,"New York Rangers"1,"NYR","82"2,"42"3,"27"4,"13"5,"97"6,".591"7,"213"8,"199"9,"0.05"10,"-0.12"11,"5.02"12,"61"13,"370"14,"16.49"15,"53"16,"343"17,"84.55"18,"4"19,"6"20,"2579"21,"7.9"22,"2119"23,".913"24,"99.3"
"9"0,"Dallas Stars"1,"DAL","82"2,"45"3,"30"4,"7"5,"97"6,".591"7,"242"8,"207"9,"0.54"10,"0.11"11,"5.48"12,"64"13,"354"14,"18.08"15,"51"16,"354"17,"85.59"18,"13"19,"8"20,"2187"21,"10.8"22,"2128"23,".908"24,"101.4"
"10"0,"Colorado Avalanche"1,"COL","82"2,"44"3,"31"4,"7"5,"95"6,".579"7,"231"8,"219"9,"0.24"10,"0.09"11,"5.49"12,"49"13,"335"14,"14.63"15,"56"16,"301"17,"81.40"18,"2"19,"5"20,"2349"21,"9.5"22,"2226"23,".908"24,"100.1"
"11"0,"Philadelphia Flyers"1,"PHI","82"2,"42"3,"29"4,"11"5,"95"6,".579"7,"248"8,"233"9,"0.06"10,"-0.12"11,"5.87"12,"84"13,"385"14,"21.82"15,"65"16,"388"17,"83.25"18,"13"19,"6"20,"2359"21,"10.4"22,"2604"23,".915"24,"101.8"
"12"0,"Boston Bruins"1,"BOS","82"2,"41"3,"29"4,"12"5,"94"6,".573"7,"212"8,"222"9,"-0.20"10,"-0.08"11,"5.29"12,"56"13,"319"14,"17.55"15,"71"16,"332"17,"78.61"18,"9"19,"6"20,"2339"21,"8.8"22,"2492"23,".916"24,"100.5"
"13"0,"Calgary Flames"1,"CGY","82"2,"42"3,"30"4,"10"5,"94"6,".573"7,"229"8,"227"9,"0.13"10,"0.10"11,"5.56"12,"59"13,"352"14,"16.76"15,"72"16,"389"17,"81.49"18,"9"19,"8"20,"2316"21,"9.8"22,"2330"23,".906"24,"100.4"
"14"0,"Washington Capitals"1,"WSH","82"2,"43"3,"31"4,"8"5,"94"6,".573"7,"242"8,"231"9,"-0.06"10,"-0.19"11,"5.77"12,"65"13,"346"14,"18.79"15,"68"16,"349"17,"80.52"18,"5"19,"8"20,"2538"21,"9.4"22,"2252"23,".902"24,"99.5"
"15"0,"Ottawa Senators"1,"OTT","82"2,"43"3,"31"4,"8"5,"94"6,".573"7,"261"8,"247"9,"0.06"10,"-0.11"11,"6.20"12,"60"13,"328"14,"18.29"15,"72"16,"380"17,"81.05"18,"18"19,"6"20,"2471"21,"10.4"22,"2448"23,".904"24,"100.8"
"16"0,"Carolina Hurricanes"1,"CAR","82"2,"43"3,"33"4,"6"5,"92"6,".561"7,"252"8,"249"9,"-0.15"10,"-0.18"11,"6.11"12,"79"13,"420"14,"18.81"15,"75"16,"355"17,"78.87"18,"4"19,"13"20,"2669"21,"9.4"22,"2362"23,".898"24,"99.2"
"17"0,"Nashville Predators"1,"NSH","82"2,"41"3,"32"4,"9"5,"91"6,".555"7,"230"8,"229"9,"0.13"10,"0.12"11,"5.60"12,"53"13,"358"14,"14.80"15,"49"16,"335"17,"85.37"18,"7"19,"10"20,"2425"21,"9.4"22,"2433"23,".911"24,"100.4"
"18"0,"Buffalo Sabres"1,"BUF","82"2,"39"3,"31"4,"12"5,"90"6,".549"7,"255"8,"242"9,"0.05"10,"-0.11"11,"6.06"12,"66"13,"366"14,"18.03"15,"56"16,"333"17,"83.18"18,"9"19,"8"20,"2478"21,"10.1"22,"2318"23,".903"24,"100.3"
"19"0,"Vancouver Canucks"1,"VAN","82"2,"39"3,"33"4,"10"5,"88"6,".537"7,"213"8,"215"9,"0.08"10,"0.11"11,"5.22"12,"63"13,"369"14,"17.07"15,"64"16,"368"17,"82.61"18,"8"19,"7"20,"2252"21,"9.2"22,"2364"23,".914"24,"100.7"
"20"0,"Chicago Blackhawks"1,"CHI","82"2,"40"3,"34"4,"8"5,"88"6,".537"7,"239"8,"235"9,"0.16"10,"0.12"11,"5.78"12,"58"13,"365"14,"15.89"15,"69"16,"385"17,"82.08"18,"17"19,"6"20,"2298"21,"10.2"22,"2336"23,".905"24,"100.5"
"21"0,"Edmonton Oilers"1,"EDM","82"2,"41"3,"35"4,"6"5,"88"6,".537"7,"235"8,"251"9,"-0.07"10,"0.12"11,"5.93"12,"57"13,"344"14,"16.57"15,"56"16,"366"17,"84.70"18,"7"19,"10"20,"2156"21,"10.2"22,"2563"23,".908"24,"100.7"
"22"0,"Florida Panthers"1,"FLA","82"2,"38"3,"35"4,"9"5,"85"6,".518"7,"216"8,"226"9,"-0.29"10,"-0.17"11,"5.39"12,"60"13,"313"14,"19.17"15,"66"16,"374"17,"82.35"18,"4"19,"3"20,"2549"21,"8.3"22,"2748"23,".922"24,"100.5"
"23"0,"Toronto Maple Leafs"1,"TOR","82"2,"36"3,"35"4,"11"5,"83"6,".506"7,"231"8,"260"9,"-0.42"10,"-0.06"11,"5.99"12,"61"13,"343"14,"17.78"15,"77"16,"352"17,"78.13"18,"4"19,"10"20,"2542"21,"9.0"22,"2395"23,".896"24,"98.5"
"24"0,"Phoenix Coyotes"1,"PHX","82"2,"38"3,"37"4,"7"5,"83"6,".506"7,"214"8,"231"9,"-0.04"10,"0.17"11,"5.43"12,"63"13,"339"14,"18.58"15,"64"16,"332"17,"80.72"18,"11"19,"12"20,"2500"21,"8.4"22,"2510"23,".914"24,"99.6"
"25"0,"Columbus Blue Jackets"1,"CBJ","82"2,"34"3,"36"4,"12"5,"80"6,".488"7,"193"8,"218"9,"-0.16"10,"0.15"11,"5.01"12,"53"13,"356"14,"14.89"15,"63"16,"378"17,"83.33"18,"8"19,"5"20,"2381"21,"8.0"22,"2240"23,".910"24,"98.9"
