rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Montreal Canadiens"1,"MTL","70"2,"42"3,"14"4,"14"5,"98"6,".700"7,"259"8,"166"9,"1.11"10,"-0.22"11,"6.07"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"2"0,"Toronto Maple Leafs"1,"TOR","70"2,"37"3,"22"4,"11"5,"85"6,".607"7,"232"8,"180"9,"0.62"10,"-0.12"11,"5.89"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"3"0,"Chicago Black Hawks"1,"CBH","70"2,"31"3,"26"4,"13"5,"75"6,".536"7,"217"8,"186"9,"0.37"10,"-0.07"11,"5.76"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"4"0,"New York Rangers"1,"NYR","70"2,"26"3,"32"4,"12"5,"64"6,".457"7,"195"8,"207"9,"-0.14"10,"0.03"11,"5.74"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"5"0,"Detroit Red Wings"1,"DET","70"2,"23"3,"33"4,"14"5,"60"6,".429"7,"184"8,"219"9,"-0.42"10,"0.08"11,"5.76"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"6"0,"Boston Bruins"1,"BOS","70"2,"15"3,"47"4,"8"5,"38"6,".271"7,"177"8,"306"9,"-1.54"10,"0.31"11,"6.90"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
