rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Lorne Chabot","31","TOR","44","","22","16","6","106","","","","2.36","4","2698","","","","","","0","0","0","2"
"2","King Clancy","28","TOR","1","","0","0","0","1","","","","60.00","0","1","","","","","","10","9","19","61"
"3","Alec Connell","29","DTF","48","","18","20","10","108","","","","2.12","6","3050","","","","","","0","0","0","0"
"4","Wilf Cude","21","TOT","3","","1","1","0","15","","","","5.59","1","161","","","","","","0","0","0","0"
"5","Jake Forbes","34","NYA","6","","3","3","0","16","","","","2.67","0","360","","","","","","0","0","0","0"
"6","Charlie Gardiner","27","CBH","48","","18","19","11","92","","","","1.85","4","2989","","","","","","0","0","0","0"
"7","Benny Grant","23","TOR","5","","1","2","1","18","","","","3.38","1","320","","","","","","0","0","0","0"
"8","George Hainsworth","36","MTL","48","","25","16","7","110","","","","2.20","6","2998","","","","","","0","0","0","2"
"9","Red Horner","22","TOR","1","","0","0","0","1","","","","60.00","0","1","","","","","","7","9","16","97"
"10","Percy Jackson","24","BOS","4","","1","1","1","8","","","","2.07","0","232","","","","","","0","0","0","0"
"11","Dave Kerr","22","NYA","1","","0","1","0","6","","","","6.00","0","60","","","","","","0","0","0","0"
"12","Albert Leduc","29","MTL","1","","0","0","0","1","","","","30.00","0","2","","","","","","5","3","8","60"
"13","Alex Levinsky","21","TOR","1","","0","0","0","1","","","","60.00","0","1","","","","","","5","5","10","29"
"14","John Ross Roach","31","NYR","48","","23","17","8","112","","","","2.23","9","3020","","","","","","0","0","0","0"
"15","Moe Roberts","26","NYA","1","","1","0","0","1","","","","1.00","0","60","","","","","","0","0","0","0"
"16","Al Shields","24","NYA","2","","0","0","0","9","","","","13.17","0","41","","","","","","4","1","5","45"
"17","Normie Smith","23","MTM","21","","5","12","4","62","","","","2.94","0","1267","","","","","","0","0","0","0"
"18","Harold Starr","25","MTM","1","","0","0","0","0","","","","0.00","0","3","","","","","","1","2","3","47"
"19","Tiny Thompson","28","BOS","43","","13","19","11","103","","","","2.29","9","2698","","","","","","0","0","0","0"
"20","Flat Walsh","34","MTM","27","","14","10","3","77","","","","2.77","2","1670","","","","","","0","0","0","0"
"21","Roy Worters","31","NYA","40","","12","20","8","110","","","","2.68","5","2459","","","","","","0","0","0","0"
