rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Sid Abel","21","DET","LW","24","1","5","6","","4","","","","","","","","","","",""
"2","George Allen","25","CBH","D","48","10","12","22","","26","","","","","","","","","","",""
"3","Tom Anderson","29","NYA","D","48","12","19","31","","22","","","","","","","","","","",""
"4","Syl Apps","25","TOR","C","27","13","17","30","","5","","","","","","","","","","",""
"5","Murray Armstrong","24","NYA","C","47","16","20","36","","12","","","","","","","","","","",""
"6","Marty Barry","34","MTL","C","30","4","10","14","","2","","","","","","","","","","",""
"7","Cliff Barton","32","NYR","RW","3","0","0","0","","0","","","","","","","","","","",""
"8","Bobby Bauer","24","BOS","RW","48","17","26","43","","2","","","","","","","","","","",""
"9","Frank Beisler","26","NYA","D","1","0","0","0","","0","","","","","","","","","","",""
"10","Doug Bentley","23","CBH","LW","39","12","7","19","","12","","","","","","","","","","",""
"11","Toe Blake","27","MTL","LW","48","17","19","36","","48","","","","","","","","","","",""
"12","Buzz Boll","28","NYA","LW","47","5","10","15","","18","","","","","","","","","","",""
"13","Ralph Bowman","28","DET","D","11","0","2","2","","4","","","","","","","","","","",""
"14","Connie Brown","23","DET","C","36","8","3","11","","2","","","","","","","","","","",""
"15","Mud Bruneteau","25","DET","RW","48","10","14","24","","10","","","","","","","","","","",""
"16","Walt Buswell","32","MTL","D","46","1","3","4","","10","","","","","","","","","","",""
"17","Herb Cain","27","BOS","LW","48","21","10","31","","30","","","","","","","","","","",""
"18","Lorne Carr","29","NYA","RW","48","8","17","25","","17","","","","","","","","","","",""
"19","Bill Carse","25","CBH","C","48","10","13","23","","10","","","","","","","","","","",""
"20","Bob Carse","20","CBH","LW","22","3","5","8","","11","","","","","","","","","","",""
"21","John Chad","20","CBH","RW","22","8","3","11","","11","","","","","","","","","","",""
"22","Murph Chamberlain","24","TOR","LW","40","5","17","22","","63","","","","","","","","","","",""
"23","Art Chapman","33","NYA","C","26","4","6","10","","2","","","","","","","","","","",""
"24","Lex Chisholm","24","TOR","RW","28","6","8","14","","11","","","","","","","","","","",""
"25","Jack Church","24","TOR","D","31","1","4","5","","62","","","","","","","","","","",""
"26","Dit Clapper","32","BOS","D","44","10","18","28","","25","","","","","","","","","","",""
"27","Mac Colville","24","NYR","RW","47","7","14","21","","12","","","","","","","","","","",""
"28","Neil Colville","25","NYR","C","48","19","19","38","","22","","","","","","","","","","",""
"29","Charlie Conacher","30","NYA","D/RW","47","10","18","28","","41","","","","","","","","","","",""
"30","Roy Conacher","23","BOS","LW","31","18","12","30","","9","","","","","","","","","","",""
