rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Detroit Red Wings","DET","48","25","15","8","58",".604","111","93","0.33","-0.04","4.25","","","","","","","","","","","","",""
"2","Boston Bruins","BOS","48","25","15","8","58",".604","124","88","0.67","-0.08","4.42","","","","","","","","","","","","",""
"3","New York Rangers","NYR","48","23","17","8","54",".563","135","107","0.52","-0.07","5.04","","","","","","","","","","","","",""
"4","Toronto Maple Leafs","TOR","48","24","18","6","54",".563","119","111","0.15","-0.02","4.79","","","","","","","","","","","","",""
"5","Montreal Maroons","MTM","48","22","20","6","50",".521","135","119","0.30","-0.04","5.29","","","","","","","","","","","","",""
"6","Chicago Black Hawks","CBH","48","16","20","12","44",".458","88","101","-0.24","0.03","3.94","","","","","","","","","","","","",""
"7","Montreal Canadiens","MTL","48","18","25","5","41",".427","92","115","-0.43","0.05","4.31","","","","","","","","","","","","",""
"8","New York Americans","NYA","48","15","22","11","41",".427","91","118","-0.50","0.06","4.35","","","","","","","","","","","","",""
"9","Ottawa Senators","OTS","48","11","27","10","32",".333","88","131","-0.80","0.10","4.56","","","","","","","","","","","","",""
