rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Andy Aitkenhead","28","NYR","48","","23","17","8","107","","","","2.16","3","2970","","","","","","0","0","0","0"
"2","Bill Beveridge","23","OTS","35","","7","19","8","95","","","","2.60","5","2195","","","","","","0","0","0","0"
"3","Lorne Chabot","32","TOR","48","","24","18","6","111","","","","2.26","5","2946","","","","","","0","0","0","4"
"4","Charlie Conacher","23","TOR","2","","0","0","0","0","","","","0.00","0","4","","","","","","14","19","33","64"
"5","Alec Connell","30","OTS","15","","4","8","2","36","","","","2.56","1","845","","","","","","0","0","0","0"
"6","Jake Forbes","35","NYA","1","","0","0","1","2","","","","1.71","0","70","","","","","","0","0","0","0"
"7","Charlie Gardiner","28","CBH","48","","16","20","12","101","","","","2.01","5","3010","","","","","","0","0","0","0"
"8","George Hainsworth","37","MTL","48","","18","25","5","115","","","","2.32","8","2980","","","","","","0","0","0","0"
"9","Dave Kerr","23","MTM","25","","14","8","3","58","","","","2.29","4","1520","","","","","","0","0","0","0"
"10","Hugh Plaxton","28","MTM","1","","0","1","0","5","","","","5.26","0","57","","","","","","1","2","3","4"
"11","John Ross Roach","32","DET","48","","25","15","8","93","","","","1.88","10","2970","","","","","","0","0","0","0"
"12","Tiny Thompson","29","BOS","48","","25","15","8","88","","","","1.76","11","3000","","","","","","0","0","0","0"
"13","Flat Walsh","35","MTM","22","","8","11","3","56","","","","2.58","2","1303","","","","","","0","0","0","0"
"14","Roy Worters","32","NYA","47","","15","22","10","116","","","","2.34","5","2970","","","","","","0","0","0","0"
