rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Colorado Avalanche"1,"COL","82"2,"49"3,"24"4,"9"5,"107"6,".652"7,"277"8,"205"9,"0.81"10,"-0.07"11,"5.88"12,"83"13,"403"14,"20.60"15,"42"16,"339"17,"87.61"18,"14"19,"12"20,"2620"21,"10.6"22,"2471"23,".919"24,""
"2"0,"New Jersey Devils"1,"NJD","82"2,"45"3,"23"4,"14"5,"104"6,".634"7,"231"8,"182"9,"0.57"10,"-0.03"11,"5.04"12,"40"13,"288"14,"13.89"15,"28"16,"235"17,"88.09"18,"4"19,"9"20,"2593"21,"8.9"22,"2154"23,".918"24,""
"3"0,"Dallas Stars"1,"DAL","82"2,"48"3,"26"4,"8"5,"104"6,".634"7,"252"8,"198"9,"0.64"10,"-0.02"11,"5.49"12,"46"13,"314"14,"14.65"15,"51"16,"308"17,"83.44"18,"11"19,"9"20,"2439"21,"10.3"22,"2075"23,".906"24,""
"4"0,"Philadelphia Flyers"1,"PHI","82"2,"45"3,"24"4,"13"5,"103"6,".628"7,"274"8,"217"9,"0.67"10,"-0.03"11,"5.99"12,"53"13,"362"14,"14.64"15,"49"16,"342"17,"85.67"18,"11"19,"8"20,"2644"21,"10.4"22,"2101"23,".900"24,""
"5"0,"Detroit Red Wings"1,"DET","82"2,"38"3,"26"4,"18"5,"94"6,".573"7,"253"8,"197"9,"0.66"10,"-0.03"11,"5.49"12,"66"13,"368"14,"17.93"15,"46"16,"346"17,"86.71"18,"10"19,"8"20,"2726"21,"9.3"22,"2071"23,".907"24,""
"6"0,"Buffalo Sabres"1,"BUF","82"2,"40"3,"30"4,"12"5,"92"6,".561"7,"237"8,"208"9,"0.31"10,"-0.04"11,"5.43"12,"43"13,"326"14,"13.19"15,"59"16,"364"17,"83.79"18,"16"19,"4"20,"2090"21,"11.3"22,"2722"23,".926"24,""
"7"0,"Florida Panthers"1,"FLA","82"2,"35"3,"28"4,"19"5,"89"6,".543"7,"221"8,"201"9,"0.25"10,"0.00"11,"5.15"12,"50"13,"352"14,"14.20"15,"50"16,"346"17,"85.55"18,"5"19,"17"20,"2387"21,"9.3"22,"2353"23,".918"24,""
"8"0,"New York Rangers"1,"NYR","82"2,"38"3,"34"4,"10"5,"86"6,".524"7,"258"8,"231"9,"0.33"10,"0.01"11,"5.96"12,"63"13,"287"14,"21.95"15,"69"16,"344"17,"79.94"18,"15"19,"5"20,"2528"21,"10.2"22,"2577"23,".915"24,""
"9"0,"Mighty Ducks of Anaheim"1,"MDA","82"2,"36"3,"33"4,"13"5,"85"6,".518"7,"245"8,"233"9,"0.12"10,"-0.03"11,"5.83"12,"56"13,"333"14,"16.82"15,"62"16,"336"17,"81.55"18,"9"19,"11"20,"2331"21,"10.5"22,"2682"23,".915"24,""
"10"0,"Pittsburgh Penguins"1,"PIT","82"2,"38"3,"36"4,"8"5,"84"6,".512"7,"285"8,"280"9,"0.04"10,"-0.02"11,"6.89"12,"74"13,"339"14,"21.83"15,"64"16,"338"17,"81.07"18,"11"19,"12"20,"2414"21,"11.8"22,"2801"23,".904"24,""
