rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Greg Adams","33","DAL","LW","50","21","15","36","27","2","16","5","0","4","9","6","0","113","18.6","",""
"2","Tommy Albelin","32","CGY","D","72","4","11","15","-8","14","2","2","0","0","4","7","0","103","3.9","",""
"3","Daniel Alfredsson","24","OTT","RW","76","24","47","71","5","30","12","11","1","1","25","20","2","247","9.7","",""
"4","Jamie Allison","21","CGY","D","20","0","0","0","-4","35","0","0","0","0","0","0","0","8","0.0","",""
"5","Jason Allison","21","TOT","C","72","8","26","34","-6","34","6","2","0","1","17","9","0","99","8.1","",""
"6","Tony Amonte","26","CHI","RW","81","41","36","77","35","64","30","9","2","4","29","6","1","266","15.4","",""
"7","Mikael Andersson","30","TBL","RW","70","5","14","19","1","8","2","0","3","1","12","0","2","102","4.9","",""
"8","Niklas Andersson","25","NYI","LW","74","12","31","43","4","57","10","1","1","1","24","5","2","122","9.8","",""
"9","Dave Andreychuk","33","NJD","LW","82","27","34","61","38","48","22","4","1","2","29","5","0","233","11.6","",""
"10","Shawn Antoski","26","TOT","LW","15","0","0","0","1","51","0","0","0","0","0","0","0","3","0.0","",""
"11","Dave Archibald","27","NYI","C","7","0","0","0","-4","4","0","0","0","0","0","0","0","4","0.0","",""
"12","Derek Armstrong","23","NYI","C","50","6","7","13","-8","33","6","0","0","2","6","1","0","36","16.7","",""
"13","Jason Arnott","22","EDM","C","67","19","38","57","-21","92","8","10","1","2","16","22","0","248","7.7","",""
"14","Adrian Aucoin","23","VAN","D","70","5","16","21","0","63","4","1","0","0","13","3","0","116","4.3","",""
"15","Donald Audette","27","BUF","RW","73","28","22","50","-6","48","20","8","0","5","16","6","0","182","15.4","",""
"16","Dave Babych","35","VAN","D","78","5","22","27","-2","38","3","2","0","1","18","2","2","105","4.8","",""
"17","Jamie Baker","30","TOR","C","58","8","8","16","2","28","7","1","0","3","6","1","1","69","11.6","",""
"18","Frank Banham","21","MDA","RW","3","0","0","0","-2","0","0","0","0","0","0","0","0","1","0.0","",""
"19","Drew Bannister","22","TOT","D","65","4","14","18","-23","44","3","1","0","0","8","6","0","59","6.8","",""
"20","Matthew Barnaby","23","BUF","RW","68","19","24","43","16","249","17","2","0","1","22","2","0","121","15.7","",""
"21","Stu Barnes","26","TOT","C","81","19","30","49","-23","26","14","5","0","3","22","7","1","176","10.8","",""
"22","Murray Baron","29","TOT","D","79","1","7","8","-20","122","1","0","0","0","5","1","1","64","1.6","",""
"23","Bob Bassen","31","DAL","C","46","5","7","12","5","41","5","0","0","2","7","0","0","50","10.0","",""
"24","Ken Baumgartner","30","MDA","LW","67","0","11","11","0","182","0","0","0","0","11","0","0","20","0.0","",""
"25","Clayton Beddoes","26","BOS","C","21","1","2","3","-1","13","1","0","0","0","2","0","0","11","9.1","",""
"26","Bob Beers","29","BOS","D","27","3","4","7","0","8","2","1","0","0","4","0","0","49","6.1","",""
"27","Wade Belak","20","COL","D","5","0","0","0","-1","11","0","0","0","0","0","0","0","1","0.0","",""
"28","Jesse Belanger","27","EDM","C","6","0","0","0","-3","0","0","0","0","0","0","0","0","8","0.0","",""
"29","Ken Belanger","22","NYI","LW","18","0","2","2","-1","102","0","0","0","0","2","0","0","5","0.0","",""
"30","Brian Bellows","32","TOT","LW","69","16","15","31","-15","22","8","8","0","1","12","3","0","168","9.5","",""
"31","Josef Beranek","27","PIT","LW","8","3","1","4","-1","4","2","1","0","0","1","0","0","15","20.0","",""
"32","Bryan Berard","19","NYI","D","82","8","40","48","1","86","5","3","0","1","23","17","0","172","4.7","",""
"33","Sergei Berezin","25","TOR","LW","73","25","16","41","-3","2","18","7","0","2","11","5","0","177","14.1","",""
"34","Aki Berg","19","LAK","D","41","2","6","8","-9","24","0","2","0","0","6","0","0","65","3.1","",""
"35","Bill Berg","29","NYR","LW","67","8","6","14","2","37","6","0","2","3","6","0","0","84","9.5","",""
"36","Marc Bergevin","31","STL","D","82","0","4","4","-9","53","0","0","0","0","3","1","0","30","0.0","",""
"37","Stefan Bergkvist","21","PIT","D","5","0","0","0","-1","7","0","0","0","0","0","0","0","0","","",""
"38","Todd Bertuzzi","21","NYI","RW","64","10","13","23","-3","68","7","3","0","1","11","2","0","79","12.7","",""
"39","Craig Berube","31","WSH","LW","80","4","3","7","-11","218","4","0","0","1","3","0","0","55","7.3","",""
"40","Jeff Beukeboom","31","NYR","D","80","3","9","12","22","167","3","0","0","0","8","0","1","55","5.5","",""
"41","Radim Bicanek","22","OTT","D","21","0","1","1","-4","8","0","0","0","0","1","0","0","27","0.0","",""
"42","James Black","27","CHI","LW","64","12","11","23","6","20","12","0","0","3","10","1","0","122","9.8","",""
"43","Rob Blake","27","LAK","D","62","8","23","31","-28","82","4","4","0","1","14","9","0","169","4.7","",""
"44","Sylvain Blouin","22","NYR","D","6","0","0","0","-1","18","0","0","0","0","0","0","0","1","0.0","",""
"45","Doug Bodger","30","SJS","D","81","1","15","16","-14","64","1","0","0","1","8","7","0","96","1.0","",""
"46","Lonny Bohonos","23","VAN","RW","36","11","11","22","-3","10","9","2","0","1","7","4","0","67","16.4","",""
"47","Patrick Boileau","21","WSH","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"48","Peter Bondra","28","WSH","RW","77","46","31","77","7","72","32","10","4","3","21","10","0","314","14.6","",""
"49","Radek Bonk","21","OTT","C","53","5","13","18","-4","14","4","0","1","0","12","1","0","82","6.1","",""
"50","Sebastien Bordeleau","21","MTL","C","28","2","9","11","-3","2","2","0","0","0","7","0","2","27","7.4","",""
"51","Joel Bouchard","23","CGY","D","76","4","5","9","-23","49","3","0","1","0","4","1","0","61","6.6","",""
