rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Tom Barrasso","25","PIT","48","","27","16","3","165","1579","1414",".896","3.59","1","2754","","","","92","14.98","0","5","5","40"
"2","Don Beaupre","29","WSH","45","","20","18","3","113","1095","982",".897","2.64","5","2572","","","","91","11.81","0","0","0","18"
"3","Stephane Beauregard","23","WIN","16","","3","10","1","55","423","368",".870","3.95","0","836","","","","114","-6.79","0","1","1","2"
"4","Ed Belfour","25","CHI","74","","43","19","7","170","1883","1713",".910","2.47","4","4127","","","","79","44.63","0","3","3","34"
"5","Jean-Claude Bergeron","22","MTL","18","","7","6","2","59","426","367",".862","3.76","0","941","","","","122","-10.44","0","1","1","0"
"6","Daniel Berthiaume","25","LAK","37","","20","11","4","117","1086","969",".892","3.31","1","2119","","","","95","6.78","0","0","0","10"
"7","Allan Bester","26","TOT","9","","0","7","0","31","228","197",".864","4.38","0","425","","","","","","0","0","0","0"
"8","Sean Burke","24","NJD","35","","8","12","8","112","875","763",".872","3.59","0","1870","","","","112","-12.27","0","0","0","18"
"9","Jon Casey","28","MNS","55","","21","20","11","158","1450","1292",".891","2.98","3","3185","","","","96","7.27","0","2","2","22"
"10","Frederic Chabot","22","MTL","3","","0","0","1","6","45","39",".867","3.33","0","108","","","","","","0","0","0","0"
"11","Tim Cheveldae","22","DET","65","","30","26","5","214","1716","1502",".875","3.55","2","3615","","","","109","-18.41","0","5","5","2"
"12","Alain Chevrier","29","DET","3","","0","2","0","11","55","44",".800","6.11","0","108","","","","","","0","0","0","0"
"13","Jacques Cloutier","31","TOT","25","","5","11","2","85","701","616",".879","4.14","0","1232","","","","106","-5.10","0","0","0","6"
"14","Matt DelGuidice","23","BOS","1","","0","0","0","0","7","7","1.000","0.00","0","10","","","","","","0","0","0","0"
"15","Bob Essensa","26","WIN","55","","19","24","6","153","1496","1343",".898","3.15","4","2916","","","","90","17.52","0","3","3","6"
"16","Stephane Fiset","20","QUE","3","","0","2","1","12","123","111",".902","3.87","0","186","","","","","","0","0","0","0"
"17","Mark Fitzpatrick","22","NYI","2","","1","1","0","6","60","54",".900","3.00","0","120","","","","","","0","0","0","0"
"18","Norm Foster","25","BOS","3","","2","1","0","14","82","68",".829","4.57","0","184","","","","","","0","0","0","0"
"19","Grant Fuhr","28","EDM","13","","6","4","3","39","380","341",".897","3.01","1","778","","","","90","4.31","0","0","0","0"
"20","Dave Gagnon","23","DET","2","","0","1","0","6","28","22",".786","10.29","0","35","","","","","","0","0","0","0"
"21","Troy Gamble","23","VAN","47","","16","16","6","140","1156","1016",".879","3.45","1","2433","","","","106","-8.24","0","1","1","14"
"22","Scott Gordon","27","QUE","13","","0","8","0","48","225","177",".787","5.94","0","485","","","","","","0","0","0","0"
"23","Steve Guenette","25","CGY","1","","1","0","0","4","30","26",".867","4.00","0","60","","","","","","0","0","0","0"
"24","Jeff Hackett","22","NYI","30","","5","18","1","91","741","650",".877","3.62","0","1508","","","","108","-6.54","0","0","0","4"
"25","Glen Hanlon","33","DET","19","","4","6","3","46","438","392",".895","3.20","0","862","","","","92","3.92","0","0","0","4"
"26","Dominik Hasek","26","CHI","5","","3","0","1","8","93","85",".914","2.46","0","195","","","","","","0","0","0","0"
"27","Brian Hayward","30","MNS","26","","6","15","3","77","674","597",".886","3.14","2","1473","","","","100","-0.18","0","0","0","2"
"28","Glenn Healy","28","NYI","53","","18","24","9","166","1557","1391",".893","3.32","0","2999","","","","94","11.47","0","2","2","14"
"29","Ron Hextall","26","PHI","36","","13","16","5","106","982","876",".892","3.13","0","2035","","","","95","5.93","0","1","1","10"
"30","Bruce Hoffort","24","PHI","2","","1","0","1","3","20","17",".850","4.62","0","39","","","","","","0","0","0","0"
"31","Jim Hrivnak","22","WSH","9","","4","2","1","26","226","200",".885","3.61","0","432","","","","","","0","0","0","0"
"32","Kelly Hrudey","30","LAK","47","","26","13","6","132","1321","1189",".900","2.90","3","2730","","","","88","18.57","0","0","0","14"
"33","Peter Ing","21","TOR","56","","16","29","8","200","1716","1516",".883","3.84","1","3126","","","","102","-4.41","0","0","0","6"
"34","Pat Jablonski","23","STL","8","","2","3","3","25","228","203",".890","3.05","0","492","","","","","","0","1","1","0"
"35","Curtis Joseph","23","STL","30","","16","10","2","89","874","785",".898","3.12","0","1710","","","","89","10.62","0","1","1","0"
"36","Scott King","23","DET","1","","0","0","0","2","11","9",".818","2.67","0","45","","","","","","0","0","0","0"
"37","Reggie Lemelin","36","BOS","33","","17","10","3","111","841","730",".868","3.64","1","1829","","","","116","-15.14","0","0","0","10"
"38","David Littman","23","BUF","1","","0","0","0","3","18","15",".833","5.00","0","36","","","","","","0","0","0","0"
"39","Mike Liut","35","WSH","35","","13","16","3","114","786","672",".855","3.73","0","1834","","","","127","-24.41","0","0","0","0"
"40","Danny Lorenz","21","NYI","2","","0","1","0","5","36","31",".861","3.75","0","80","","","","","","0","0","0","0"
"41","Clint Malarchuk","29","BUF","37","","12","14","10","119","1090","971",".891","3.35","1","2131","","","","96","5.24","0","4","4","19"
"42","George Maneluk","23","NYI","4","","1","1","0","15","94","79",".840","6.43","0","140","","","","","","0","0","0","2"
"43","Bob Mason","29","VAN","6","","2","4","0","29","188","159",".846","4.93","0","353","","","","","","0","0","0","0"
"44","Ross McKay","26","HAR","1","","0","0","0","3","15","12",".800","5.14","0","35","","","","","","0","0","0","0"
"45","Steve McKichan","23","VAN","1","","0","0","0","2","8","6",".750","6.00","0","20","","","","","","0","0","0","0"
"46","Kirk McLean","24","VAN","41","","10","22","3","131","983","852",".867","3.99","0","1969","","","","117","-18.96","0","0","0","4"
"47","Roland Melanson","30","NJD","1","","0","0","0","2","7","5",".714","6.00","0","20","","","","","","0","0","0","0"
"48","Greg Millen","33","CHI","3","","0","1","0","4","32","28",".875","4.14","0","58","","","","","","0","0","0","0"
"49","Andy Moog","30","BOS","51","","25","13","9","136","1307","1171",".896","2.87","4","2844","","","","91","12.97","0","2","2","20"
"50","Jarmo Myllys","25","MNS","2","","0","2","0","8","57","49",".860","6.15","0","78","","","","","","0","0","0","2"
"51","Pete Peeters","33","PHI","26","","9","7","1","61","623","562",".902","2.88","1","1270","","","","86","10.01","0","1","1","14"
"52","Frank Pietrangelo","26","PIT","25","","10","11","1","86","714","628",".880","3.94","0","1311","","","","106","-4.62","0","1","1","24"
"53","Daren Puppa","25","BUF","38","","15","11","6","118","1029","911",".885","3.38","2","2092","","","","101","-0.71","0","4","4","6"
"54","Andre Racicot","21","MTL","21","","7","9","2","52","479","427",".891","3.20","1","975","","","","95","2.60","0","1","1","0"
"55","Bill Ranford","24","EDM","60","","27","27","3","182","1705","1523",".893","3.20","0","3415","","","","94","12.34","0","4","4","6"
"56","Daryl Reaugh","25","HAR","20","","7","7","1","53","479","426",".889","3.15","1","1010","","","","97","1.60","0","0","0","4"
"57","Pokey Reddick","26","EDM","2","","0","2","0","9","59","50",".847","4.50","0","120","","","","","","0","0","0","0"
"58","Jeff Reese","24","TOR","30","","6","13","3","92","695","603",".868","3.86","1","1430","","","","116","-12.78","0","1","1","0"
"59","Damian Rhodes","21","TOR","1","","1","0","0","1","26","25",".962","1.00","0","60","","","","","","0","0","0","0"
"60","Mike Richter","24","NYR","45","","21","13","7","135","1392","1257",".903","3.12","0","2596","","","","85","23.66","0","1","1","4"
"61","Vincent Riendeau","24","STL","44","","29","9","6","134","1241","1107",".892","3.01","3","2671","","","","95","7.45","0","2","2","0"
"62","Patrick Roy","25","MTL","48","","25","15","6","128","1362","1234",".906","2.71","1","2835","","","","82","27.24","0","2","2","6"
"63","Peter Sidorkiewicz","27","HAR","52","","21","22","7","164","1284","1120",".872","3.33","1","2953","","","","112","-17.65","0","4","4","6"
"64","Rick Tabaracci","22","WIN","24","","4","9","4","71","570","499",".875","3.90","1","1093","","","","109","-6.03","0","1","1","8"
"65","Kari Takko","28","TOT","13","","4","6","0","49","353","304",".861","4.54","0","648","","","","122","-8.76","0","1","1","0"
"66","John Tanner","19","QUE","6","","1","3","1","16","133","117",".880","4.21","0","228","","","","","","0","0","0","2"
"67","Chris Terreri","26","NJD","53","","24","21","7","144","1348","1204",".893","2.91","1","2970","","","","94","9.65","0","3","3","2"
"68","Ron Tugnutt","23","QUE","56","","12","29","10","212","1851","1639",".885","4.05","0","3144","","","","100","-1.02","0","0","0","0"
"69","John Vanbiesbrouck","27","NYR","40","","15","18","6","126","1154","1028",".891","3.35","3","2257","","","","96","5.53","0","3","3","18"
"70","Mike Vernon","27","CGY","54","","31","19","3","172","1406","1234",".878","3.31","1","3121","","","","107","-11.74","0","4","4","8"
"71","Jimmy Waite","21","CHI","1","","1","0","0","2","28","26",".929","2.00","0","60","","","","","","0","0","0","0"
"72","Darcy Wakaluk","24","BUF","16","","4","5","3","35","292","257",".880","3.33","0","630","","","","","","0","0","0","2"
"73","Rick Wamsley","31","CGY","29","","14","7","5","85","762","677",".888","3.05","0","1670","","","","98","1.85","0","1","1","0"
"74","Steve Weeks","32","VAN","1","","0","1","0","6","29","23",".793","6.10","0","59","","","","","","0","0","0","0"
"75","Kay Whitmore","23","HAR","18","","3","9","3","52","379","327",".863","3.67","0","850","","","","120","-8.80","0","1","1","4"
"76","Ken Wregget","26","PHI","30","","10","14","3","88","660","572",".867","3.56","0","1484","","","","117","-12.77","0","0","0","6"
"77","Wendell Young","27","PIT","18","","4","6","2","52","428","376",".879","4.04","0","773","","","","107","-3.22","0","1","1","0"
