rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Amos Arbour","26","MTL","LW","23","15","3","18","","40","","","","","","","","","","",""
"2","Billy Bell","29","MTL","F","4","0","0","0","","2","","","","","","","","","","",""
"3","Louis Berlinguette","33","MTL","LW","24","11","9","20","","28","","","","","","","","","","",""
"4","George Boucher","24","OTS","D","23","11","8","19","","53","","","","","","","","","","",""
"5","Punch Broadbent","28","OTS","RW","9","4","1","5","","10","","","","","","","","","","",""
"6","Morley Bruce","26","OTS","F","21","3","1","4","","23","","","","","","","","","","",""
"7","Harry Cameron","30","TRS","D","24","18","9","27","","35","","","","","","","","","","",""
"8","Dave Campbell","24","MTL","D","2","0","0","0","","0","","","","","","","","","","",""
"9","George Carey","","HAM","RW","20","6","1","7","","8","","","","","","","","","","",""
"10","Ed Carpenter","30","HAM","D","21","2","1","3","","17","","","","","","","","","","",""
"11","Odie Cleghorn","29","MTL","C","21","6","6","12","","8","","","","","","","","","","",""
"12","Sprague Cleghorn","30","TRS","D","13","3","5","8","","31","","","","","","","","","","",""
"13","Bert Corbeau","26","MTL","D","24","11","2","13","","86","","","","","","","","","","",""
"14","Jack Coughlin","28","HAM","F","2","0","0","0","","0","","","","","","","","","","",""
"15","Billy Coutu","28","HAM","D","24","8","4","12","","95","","","","","","","","","","",""
"16","Jack Darragh","30","OTS","RW/LW","24","11","15","26","","20","","","","","","","","","","",""
"17","Corb Denneny","27","TRS","C","20","19","7","26","","29","","","","","","","","","","",""
"18","Cy Denneny","29","OTS","LW","24","34","5","39","","10","","","","","","","","","","",""
"19","Babe Dye","22","TOT","RW","24","35","5","40","","32","","","","","","","","","","",""
"20","Eddie Gerard","30","OTS","D","24","11","4","15","","18","","","","","","","","","","",""
"21","Leth Graham","","OTS","LW","14","0","0","0","","0","","","","","","","","","","",""
"22","Newsy Lalonde","33","MTL","C","24","33","10","43","","36","","","","","","","","","","",""
"23","Ed Lowrey","29","HAM","F","5","0","0","0","","0","","","","","","","","","","",""
"24","Jack MacKell","24","OTS","F","22","2","1","3","","26","","","","","","","","","","",""
"25","Joe Malone","30","HAM","LW/C","20","28","9","37","","6","","","","","","","","","","",""
"26","Joe Matte","27","HAM","RW/D","21","6","9","15","","29","","","","","","","","","","",""
"27","Thomas McCarthy","","HAM","RW","23","10","1","11","","10","","","","","","","","","","",""
"28","Jack McDonald","33","TOT","C","12","0","1","1","","2","","","","","","","","","","",""
"29","Moylan McDonnell","31","HAM","D","22","1","2","3","","2","","","","","","","","","","",""
"30","Fred McLean","27","HAM","F","1","0","0","0","","0","","","","","","","","","","",""
"31","Harry Mummery","31","MTL","D","24","15","5","20","","69","","","","","","","","","","",""
"32","Frank Nighbor","28","OTS","C","24","19","10","29","","10","","","","","","","","","","",""
"33","Reg Noble","24","TRS","LW/D","24","19","8","27","","54","","","","","","","","","","",""
"34","Didier Pitre","37","MTL","RW","23","16","5","21","","25","","","","","","","","","","",""
"35","Charles Pletsch","28","HAM","F","1","0","0","0","","0","","","","","","","","","","",""
"36","Goldie Prodger","29","HAM","F","24","18","9","27","","8","","","","","","","","","","",""
"37","Ken Randall","32","TRS","D","22","6","5","11","","74","","","","","","","","","","",""
"38","Leo Reise","28","HAM","D","6","2","0","2","","8","","","","","","","","","","",""
"39","Dave Ritchie","29","MTL","D","6","0","0","0","","2","","","","","","","","","","",""
"40","Mickey Roach","25","TOT","C","23","10","9","19","","2","","","","","","","","","","",""
"41","Rod Smylie","25","TRS","LW","23","2","1","3","","2","","","","","","","","","","",""
"42","Billy Stuart","20","TRS","D","19","2","1","3","","4","","","","","","","","","","",""
"43","Cully Wilson","28","TOT","RW","19","8","4","12","","51","","","","","","","","","","",""
