rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Scott Bailey","23","BOS","11","","5","1","2","31","264","233",".883","3.26","0","571","","","","","","0","0","0""0"
"2","Mike Bales","24","OTT","20","","2","14","1","72","560","488",".871","4.15","0","1040","","","","127","-15.12","0","0","0""2"
"3","Tom Barrasso","30","PIT","49","","29","16","2","160","1626","1466",".902","3.43","2","2799","","","","97","5.17","0","3","3""18"
"4","Don Beaupre","34","TOT","41","","6","28","0","136","1062","926",".872","3.87","1","2106","","","","126","-28.12","0","2","2""31"
"5","Ed Belfour","30","CHI","50","","22","17","10","135","1373","1238",".902","2.74","1","2956","","","","97","4.47","0","2","2""36"
"6","Jean-Claude Bergeron","27","TBL","12","","2","6","2","42","250","208",".832","4.24","0","595","","","","","","0","0","0""0"
"7","Allan Bester","31","DAL","10","","4","5","1","30","297","267",".899","3.00","0","601","","","","","","0","0","0""2"
"8","Craig Billington","29","BOS","27","","10","13","3","79","594","515",".867","3.43","1","1380","","","","131","-18.66","0","0","0""2"
"9","Martin Biron","18","BUF","3","","0","2","0","10","64","54",".844","5.04","0","119","","","","","","0","0","0""0"
"10","John Blue","29","BUF","5","","2","2","0","15","137","122",".891","3.53","0","255","","","","","","0","0","0""0"
"11","Fred Brathwaite","23","EDM","7","","0","2","0","12","140","128",".914","2.46","0","293","","","","","","0","0","0""2"
"12","Martin Brodeur","23","NJD","77","","34","30","12","173","1954","1781",".911","2.34","6","4433","","","","87","25.49","0","1","1""6"
"13","Sean Burke","29","HAR","66","","28","28","6","190","2034","1844",".907","3.11","4","3669","","","","92","16.61","0","6","6""16"
"14","Jim Carey","21","WSH","71","","35","24","9","153","1631","1478",".906","2.26","9","4069","","","","92","12.68","0","1","1""6"
"15","Jon Casey","33","STL","9","","2","3","0","25","180","155",".861","3.80","0","395","","","","","","0","0","0""0"
"16","Tim Cheveldae","27","WIN","30","","8","18","3","111","948","837",".883","3.93","0","1695","","","","115","-14.70","0","0","0""0"
"17","Byron Dafoe","24","LAK","47","","14","24","8","172","1539","1367",".888","3.87","1","2666","","","","110","-15.67","0","0","0""6"
"18","Tom Draper","29","WIN","1","","0","0","0","3","14","11",".786","5.29","0","34","","","","","","0","0","0""0"
