date,vistor,vistorAbrv,vistorGoals,home,homeAbrv,homeGoals,notes
"1988-10-06","Toronto Maple Leafs","TOR","1","Boston Bruins","BOS","2",
"1988-10-06","Montreal Canadiens","MTL","2","Buffalo Sabres","BUF","3",
"1988-10-06","New York Islanders","NYI","4","Calgary Flames","CGY","4",
"1988-10-06","New York Rangers","NYR","2","Chicago Blackhawks","CHI","2",
"1988-10-06","Quebec Nordiques","QUE","5","Hartford Whalers","HAR","2",
"1988-10-06","Detroit Red Wings","DET","2","Los Angeles Kings","LAK","8",
"1988-10-06","St. Louis Blues","STL","8","Minnesota North Stars","MNS","3",
"1988-10-06","New Jersey Devils","NJD","1","Philadelphia Flyers","PHI","4",
"1988-10-06","Winnipeg Jets","WIN","2","Vancouver Canucks","VAN","2",
"1988-10-07","New York Islanders","NYI","1","Edmonton Oilers","EDM","5",
"1988-10-07","Pittsburgh Penguins","PIT","6","Washington Capitals","WSH","4",
"1988-10-08","Boston Bruins","BOS","6","Hartford Whalers","HAR","2",
"1988-10-08","Calgary Flames","CGY","5","Los Angeles Kings","LAK","6",
"1988-10-08","Minnesota North Stars","MNS","3","Montreal Canadiens","MTL","4",
"1988-10-08","New Jersey Devils","NJD","5","Quebec Nordiques","QUE","3",
"1988-10-08","New York Rangers","NYR","4","St. Louis Blues","STL","2",
"1988-10-08","Chicago Blackhawks","CHI","4","Toronto Maple Leafs","TOR","7",
"1988-10-08","Detroit Red Wings","DET","3","Vancouver Canucks","VAN","3",
"1988-10-08","Buffalo Sabres","BUF","2","Washington Capitals","WSH","6",
"1988-10-09","Hartford Whalers","HAR","1","Boston Bruins","BOS","3",
"1988-10-09","Toronto Maple Leafs","TOR","8","Chicago Blackhawks","CHI","4",
"1988-10-09","Winnipeg Jets","WIN","4","Edmonton Oilers","EDM","5",
"1988-10-09","New York Islanders","NYI","5","Los Angeles Kings","LAK","6",
"1988-10-09","Buffalo Sabres","BUF","3","Philadelphia Flyers","PHI","4",
"1988-10-09","Minnesota North Stars","MNS","1","Quebec Nordiques","QUE","4",
"1988-10-10","Detroit Red Wings","DET","2","Calgary Flames","CGY","5",
"1988-10-10","New Jersey Devils","NJD","5","New York Rangers","NYR","0",
"1988-10-10","New York Islanders","NYI","3","Vancouver Canucks","VAN","2",
"1988-10-11","Washington Capitals","WSH","7","Pittsburgh Penguins","PIT","8",
"1988-10-12","Pittsburgh Penguins","PIT","5","Buffalo Sabres","BUF","8",
"1988-10-12","Winnipeg Jets","WIN","1","Chicago Blackhawks","CHI","10",
"1988-10-12","Vancouver Canucks","VAN","6","Edmonton Oilers","EDM","2",
"1988-10-12","Boston Bruins","BOS","2","Los Angeles Kings","LAK","6",
"1988-10-12","Quebec Nordiques","QUE","6","Montreal Canadiens","MTL","5",
"1988-10-12","Hartford Whalers","HAR","4","New York Rangers","NYR","3",
"1988-10-12","St. Louis Blues","STL","4","Toronto Maple Leafs","TOR","2",
"1988-10-13","Philadelphia Flyers","PHI","7","Minnesota North Stars","MNS","6",
"1988-10-14","Edmonton Oilers","EDM","1","Calgary Flames","CGY","6",
"1988-10-14","St. Louis Blues","STL","8","Detroit Red Wings","DET","8",
"1988-10-14","Montreal Canadiens","MTL","7","New Jersey Devils","NJD","3",
"1988-10-14","Buffalo Sabres","BUF","5","Quebec Nordiques","QUE","4",
"1988-10-14","Vancouver Canucks","VAN","3","Winnipeg Jets","WIN","4",
"1988-10-14","Toronto Maple Leafs","TOR","3","Washington Capitals","WSH","1",
