rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"New York Islanders"1,"NYI","80"2,"51"3,"15"4,"14"5,"116"6,".725"7,"358"8,"214"9,"1.76"10,"-0.04"11,"7.15"12,"81"13,"260"14,"31.15"15,"57"16,"287"17,"80.14"18,"7"19,"4"20,"2300"21,"15.6"22,""23,""24,""
"2"0,"Montreal Canadiens"1,"MTL","80"2,"52"3,"17"4,"11"5,"115"6,".719"7,"337"8,"204"9,"1.53"10,"-0.13"11,"6.76"12,"68"13,"240"14,"28.33"15,"35"16,"213"17,"83.57"18,"7"19,"7"20,"2573"21,"13.1"22,""23,""24,""
"3"0,"Boston Bruins"1,"BOS","80"2,"43"3,"23"4,"14"5,"100"6,".625"7,"316"8,"270"9,"0.57"10,"0.00"11,"7.33"12,"59"13,"249"14,"23.69"15,"72"16,"285"17,"74.74"18,"6"19,"9"20,"2245"21,"14.1"22,""23,""24,""
"4"0,"Philadelphia Flyers"1,"PHI","80"2,"40"3,"25"4,"15"5,"95"6,".594"7,"281"8,"248"9,"0.52"10,"0.11"11,"6.61"12,"59"13,"232"14,"25.43"15,"73"16,"344"17,"78.78"18,"16"19,"2"20,"2539"21,"11.1"22,""23,""24,""
"5"0,"New York Rangers"1,"NYR","80"2,"40"3,"29"4,"11"5,"91"6,".569"7,"316"8,"292"9,"0.40"10,"0.10"11,"7.60"12,"75"13,"306"14,"24.51"15,"78"16,"311"17,"74.92"18,"9"19,"12"20,"2471"21,"12.8"22,""23,""24,""
"6"0,"Atlanta Flames"1,"ATF","80"2,"41"3,"31"4,"8"5,"90"6,".563"7,"327"8,"280"9,"0.67"10,"0.08"11,"7.59"12,"54"13,"226"14,"23.89"15,"56"16,"290"17,"80.69"18,"6"19,"5"20,"2263"21,"14.4"22,""23,""24,""
"7"0,"Buffalo Sabres"1,"BUF","80"2,"36"3,"28"4,"16"5,"88"6,".550"7,"280"8,"263"9,"0.22"10,"0.00"11,"6.79"12,"55"13,"267"14,"20.60"15,"55"16,"258"17,"78.68"18,"9"19,"4"20,"2401"21,"11.7"22,""23,""24,""
"8"0,"Pittsburgh Penguins"1,"PIT","80"2,"36"3,"31"4,"13"5,"85"6,".531"7,"281"8,"279"9,"0.05"10,"0.02"11,"7.00"12,"56"13,"261"14,"21.46"15,"57"16,"250"17,"77.20"18,"7"19,"4"20,"2585"21,"10.9"22,""23,""24,""
"9"0,"Toronto Maple Leafs"1,"TOR","80"2,"34"3,"33"4,"13"5,"81"6,".506"7,"267"8,"252"9,"0.20"10,"0.02"11,"6.49"12,"60"13,"236"14,"25.42"15,"70"16,"330"17,"78.79"18,"5"19,"7"20,"2443"21,"10.9"22,""23,""24,""
"10"0,"Los Angeles Kings"1,"LAK","80"2,"34"3,"34"4,"12"5,"80"6,".500"7,"292"8,"286"9,"0.09"10,"0.02"11,"7.23"12,"76"13,"318"14,"23.90"15,"55"16,"245"17,"77.55"18,"6"19,"8"20,"2420"21,"12.1"22,""23,""24,""
"11"0,"Chicago Black Hawks"1,"CBH","80"2,"29"3,"36"4,"15"5,"73"6,".456"7,"244"8,"277"9,"-0.54"10,"-0.13"11,"6.51"12,"41"13,"247"14,"16.60"15,"70"16,"297"17,"76.43"18,"8"19,"4"20,"2247"21,"10.9"22,""23,""24,""
"12"0,"Minnesota North Stars"1,"MNS","80"2,"28"3,"40"4,"12"5,"68"6,".425"7,"257"8,"289"9,"-0.40"10,"0.00"11,"6.83"12,"63"13,"289"14,"21.80"15,"48"16,"232"17,"79.31"18,"4"19,"9"20,"2451"21,"10.5"22,""23,""24,""
"13"0,"Vancouver Canucks"1,"VAN","80"2,"25"3,"42"4,"13"5,"63"6,".394"7,"217"8,"291"9,"-1.05"10,"-0.12"11,"6.35"12,"56"13,"295"14,"18.98"15,"49"16,"248"17,"80.24"18,"1"19,"9"20,"2168"21,"10.0"22,""23,""24,""
"14"0,"Washington Capitals"1,"WSH","80"2,"24"3,"41"4,"15"5,"63"6,".394"7,"273"8,"338"9,"-0.72"10,"0.10"11,"7.64"12,"57"13,"302"14,"18.87"15,"83"16,"279"17,"70.25"18,"5"19,"12"20,"2278"21,"12.0"22,""23,""24,""
"15"0,"Detroit Red Wings"1,"DET","80"2,"23"3,"41"4,"16"5,"62"6,".388"7,"252"8,"295"9,"-0.47"10,"0.07"11,"6.84"12,"78"13,"327"14,"23.85"15,"63"16,"279"17,"77.42"18,"10"19,"9"20,"2271"21,"11.1"22,""23,""24,""
"16"0,"St. Louis Blues"1,"STL","80"2,"18"3,"50"4,"12"5,"48"6,".300"7,"249"8,"348"9,"-1.29"10,"-0.05"11,"7.46"12,"48"13,"281"14,"17.08"15,"63"16,"244"17,"74.18"18,"3"19,"8"20,"2131"21,"11.7"22,""23,""24,""
"17"0,"Colorado Rockies"1,"CLR","80"2,"15"3,"53"4,"12"5,"42"6,".263"7,"210"8,"331"9,"-1.56"10,"-0.05"11,"6.76"12,"60"13,"267"14,"22.47"15,"62"16,"211"17,"70.62"18,"8"19,"4"20,"2187"21,"9.6"22,""23,""24,""
