rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","David Aebischer","23","COL","21","","13","6","0","37","538","501",".931","1.88","2","1184","","","","75","12.63","0","0","0","4"
"2","Jean-Sebastien Aubin","24","PIT","21","","3","12","1","65","537","472",".879","3.56","0","1094","","","","131","-15.46","0","0","0","0"
"3","Alex Auld","21","VAN","1","","1","0","0","2","22","20",".909","2.00","0","60","","","","","","0","1","1","0"
"4","Tom Barrasso","36","TOT","38","","15","14","5","93","996","903",".907","2.62","2","2127","","","","101","-1.12","0","0","0","4"
"5","Ed Belfour","36","DAL","60","","21","27","11","153","1458","1305",".895","2.65","1","3467","","","","114","-18.50","0","5","5","12"
"6","Craig Billington","35","WSH","17","","4","5","3","36","295","259",".878","3.04","0","710","","","","","","0","0","0","0"
"7","Martin Biron","24","BUF","72","","31","28","10","151","1781","1630",".915","2.22","4","4085","","","","92","13.30","0","1","1","8"
"8","Dan Blackburn","18","NYR","31","","12","16","0","95","935","840",".898","3.28","0","1737","","","","110","-8.75","0","0","0","10"
"9","Brian Boucher","25","PHI","41","","18","16","4","92","972","880",".905","2.41","2","2295","","","","103","-2.33","0","0","0","4"
"10","Fred Brathwaite","29","STL","25","","9","11","4","54","543","489",".901","2.24","2","1446","","","","108","-3.91","0","0","0","0"
"11","Martin Brochu","28","VAN","6","","0","3","0","15","104","89",".856","4.17","0","216","","","","","","0","0","0","0"
"12","Martin Brodeur","29","NJD","73","","38","26","9","156","1655","1499",".906","2.15","4","4347","","","","102","-3.33","0","4","4","8"
"13","Ilya Bryzgalov","21","MDA","1","","0","0","0","1","12","11",".917","1.88","0","32","","","","","","0","0","0","0"
"14","Sean Burke","35","PHX","60","","33","21","6","137","1711","1574",".920","2.29","5","3587","","","","87","20.84","0","1","1","14"
"15","Frederic Cassivi","26","ATL","6","","2","3","0","17","207","190",".918","3.32","0","307","","","","","","0","0","0","0"
"16","Roman Cechmanek","30","PHI","46","","24","13","6","89","1131","1042",".921","2.05","4","2603","","","","85","15.33","0","0","0","10"
"17","Sebastien Centomo","20","TOR","1","","0","0","0","3","12","9",".750","4.50","0","40","","","","","","0","0","0","0"
"18","Sebastien Charpentier","24","WSH","2","","1","1","0","5","78","73",".936","2.46","0","122","","","","","","0","0","0","0"
"19","Scott Clemmensen","24","NJD","2","","0","0","0","1","5","4",".800","3.00","0","20","","","","","","0","0","0","0"
"20","Dan Cloutier","25","VAN","62","","31","22","5","142","1440","1298",".901","2.43","7","3502","","","","107","-9.16","0","0","0","20"
"21","Ty Conklin","25","EDM","4","","2","0","0","4","66","62",".939","1.62","0","148","","","","","","0","0","0","0"
"22","Byron Dafoe","30","BOS","64","","35","26","3","141","1520","1379",".907","2.21","4","3827","","","","101","-0.78","0","1","1","27"
"23","Jean-Francois Damphousse","22","NJD","6","","1","3","0","12","115","103",".896","2.45","0","294","","","","","","0","0","0","0"
"24","Marc Denis","24","CBJ","42","","9","24","5","121","1197","1076",".899","3.11","1","2335","","","","110","-10.58","0","1","1","2"
"25","Patrick DesRochers","22","PHX","5","","1","2","1","15","99","84",".848","3.70","0","243","","","","","","0","0","0","2"
"26","Reinhard Divis","26","STL","1","","0","0","0","0","4","4","1.000","0.00","0","25","","","","","","0","0","0","0"
"27","Mike Dunham","29","NSH","58","","23","24","9","144","1525","1381",".906","2.61","3","3316","","","","102","-3.32","0","2","2","2"
"28","Robert Esche","24","PHX","22","","6","10","2","52","533","481",".902","2.72","1","1145","","","","106","-2.83","0","0","0","16"
"29","Bob Essensa","37","BUF","9","","0","5","0","17","113","96",".850","2.91","0","350","","","","","","0","0","0","0"
"30","Manny Fernandez","27","MIN","44","","12","24","5","125","1157","1032",".892","3.05","1","2463","","","","117","-18.27","0","0","0","4"
"31","Stephane Fiset","31","MTL","2","","0","1","0","7","60","53",".883","3.85","0","109","","","","","","0","0","0","0"
"32","Wade Flaherty","34","FLA","4","","2","1","1","12","148","136",".919","2.94","0","245","","","","","","0","0","0","0"
"33","Mathieu Garon","24","MTL","5","","1","4","0","19","147","128",".871","4.37","0","261","","","","","","0","0","0","0"
"34","Jean-Sebastien Giguere","24","MDA","53","","20","25","6","111","1384","1273",".920","2.13","4","3127","","","","87","16.67","0","0","0","28"
"35","John Grahame","26","BOS","19","","8","7","2","52","503","451",".897","2.89","1","1079","","","","112","-5.60","0","1","1","6"
"36","Derek Gustafson","22","MIN","1","","0","0","0","0","7","7","1.000","0.00","0","26","","","","","","0","0","0","0"
"37","Jeff Hackett","33","MTL","15","","5","5","2","38","395","357",".904","3.18","0","717","","","","104","-1.56","0","0","0","2"
"38","Dominik Hasek","37","DET","65","","41","15","8","140","1654","1514",".915","2.17","5","3872","","","","92","12.58","0","1","1","8"
"39","Johan Hedberg","28","PIT","66","","25","34","7","178","1851","1673",".904","2.75","6","3877","","","","104","-7.25","0","1","1","22"
"40","Milan Hnilicka","28","ATL","60","","13","33","10","179","1956","1777",".908","3.19","3","3367","","","","99","1.44","0","2","2","8"
"41","Johan Holmqvist","23","NYR","1","","0","0","0","0","2","2","1.000","0.00","0","9","","","","","","0","0","0","0"
"42","Jani Hurme","27","OTT","25","","12","9","1","54","578","524",".907","2.48","3","1309","","","","101","-0.68","0","0","0","17"
"43","Arturs Irbe","34","CAR","51","","20","19","11","126","1282","1156",".902","2.54","3","2974","","","","107","-7.74","0","1","1","10"
"44","Brent Johnson","24","STL","58","","34","20","4","127","1293","1166",".902","2.18","5","3491","","","","106","-7.72","0","4","4","2"
"45","Curtis Joseph","34","TOR","51","","29","17","5","114","1210","1096",".906","2.23","4","3065","","","","102","-2.38","0","1","1","10"
"46","Nikolai Khabibulin","29","TBL","70","","24","32","10","153","1914","1761",".920","2.36","7","3896","","","","87","23.56","0","2","2","6"
"47","Trevor Kidd","29","FLA","33","","4","16","5","90","857","767",".895","3.21","1","1683","","","","114","-10.94","0","1","1","0"
"48","Miikka Kiprusoff","25","SJS","20","","7","6","3","43","508","465",".915","2.49","2","1037","","","","92","3.86","0","0","0","4"
