rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Boston Bruins","BOS","78","57","14","7","121",".776","399","207","2.29","-0.18","7.77","80","289","27.68","53","336","84.23","25","4","3167","12.6","","",""
"2","New York Rangers","NYR","78","49","18","11","109",".699","259","177","0.98","-0.08","5.59","60","234","25.64","41","253","83.79","5","3","2795","9.3","","",""
"3","Chicago Black Hawks","CBH","78","49","20","9","107",".686","277","184","1.11","-0.09","5.91","60","291","20.62","47","293","83.96","5","6","2417","11.5","","",""
"4","Montreal Canadiens","MTL","78","42","23","13","97",".622","291","216","0.89","-0.07","6.50","71","286","24.83","49","319","84.64","8","6","2561","11.4","","",""
"5","St. Louis Blues","STL","78","34","25","19","87",".558","223","208","0.18","-0.01","5.53","56","312","17.95","49","285","82.81","9","8","2411","9.2","","",""
"6","Toronto Maple Leafs","TOR","78","37","33","8","82",".526","248","211","0.44","-0.03","5.88","53","290","18.28","46","283","83.75","14","6","2556","9.7","","",""
"7","Philadelphia Flyers","PHI","78","28","33","17","73",".468","207","225","-0.22","0.02","5.54","42","272","15.44","50","305","83.61","3","8","2435","8.5","","",""
"8","Minnesota North Stars","MNS","78","28","34","16","72",".462","191","223","-0.38","0.03","5.31","38","259","14.67","55","268","79.48","6","4","2410","7.9","","",""
"9","Los Angeles Kings","LAK","78","25","40","13","63",".404","239","303","-0.76","0.06","6.95","41","267","15.36","53","227","76.65","6","10","2474","9.7","","",""
"10","Buffalo Sabres","BUF","78","24","39","15","63",".404","217","291","-0.88","0.07","6.51","56","298","18.79","56","302","81.46","5","12","2078","10.4","","",""
"11","Pittsburgh Penguins","PIT","78","21","37","20","62",".397","221","240","-0.23","0.02","5.91","56","318","17.61","48","276","82.61","5","9","2562","8.6","","",""
"12","Vancouver Canucks","VAN","78","24","46","8","56",".359","229","296","-0.80","0.06","6.73","52","317","16.40","81","309","73.79","6","12","2231","10.3","","",""
"13","Detroit Red Wings","DET","78","22","45","11","55",".353","209","308","-1.18","0.09","6.63","48","245","19.59","66","284","76.76","5","10","2461","8.5","","",""
"14","California Golden Seals","CGS","78","20","53","5","45",".288","199","320","-1.44","0.11","6.65","39","316","12.34","58","254","77.17","3","7","2266","8.8","","",""
