rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Keith Acton","31","PHI","C","69","13","14","27","-2","80","11","0","2","0","14","0","0","94","13.8","",""
"2","Greg Adams","29","TOT","LW","35","4","10","14","-2","33","4","0","0","0","9","1","0","27","14.8","",""
"3","Greg Adams","26","VAN","LW","65","30","20","50","-8","18","17","13","0","1","14","6","0","181","16.6","",""
"4","Jim Agnew","23","VAN","D","7","0","0","0","-1","36","0","0","0","0","0","0","0","3","0.0","",""
"5","Tommy Albelin","25","NJD","D","68","6","23","29","-1","63","2","4","0","0","14","9","0","125","4.8","",""
"6","Mike Allison","28","LAK","C","55","2","11","13","-6","78","2","0","0","1","10","1","0","25","8.0","",""
"7","Glenn Anderson","29","EDM","RW","73","34","38","72","-1","107","16","17","1","7","26","12","0","204","16.7","",""
"8","Shawn Anderson","21","BUF","D","16","1","3","4","2","8","1","0","0","0","1","2","0","16","6.3","",""
"9","Mikael Andersson","23","HAR","LW","50","13","24","37","0","6","10","1","2","2","16","7","1","86","15.1","",""
"10","Dave Andreychuk","26","BUF","LW","73","40","42","82","6","42","22","18","0","3","21","21","0","206","19.4","",""
"11","Dave Archibald","20","TOT","C","31","3","8","11","1","12","1","2","0","1","5","3","0","56","5.4","",""
"12","Scott Arniel","27","BUF","LW","79","18","14","32","4","77","16","1","1","4","13","0","1","123","14.6","",""
"13","Brent Ashton","29","WIN","LW","79","22","34","56","4","37","19","3","0","5","29","4","1","167","13.2","",""
"14","Dave Babych","28","HAR","D","72","6","37","43","-16","62","2","4","0","1","16","21","0","164","3.7","",""
"15","Jamie Baker","23","QUE","C","1","0","0","0","-1","0","0","0","0","0","0","0","0","0","","",""
"16","Helmut Balderis","37","MNS","RW","26","3","6","9","0","2","1","2","0","0","5","1","0","30","10.0","",""
"17","Don Barber","25","MNS","RW","44","15","19","34","4","32","11","4","0","2","14","5","0","100","15.0","",""
"18","Murray Baron","22","PHI","D","16","2","2","4","-1","12","2","0","0","0","2","0","0","18","11.1","",""
"19","Dave Barr","29","DET","RW","62","10","25","35","5","45","5","2","3","0","23","1","1","96","10.4","",""
"20","Len Barrie","20","PHI","C","1","0","0","0","-2","0","0","0","0","0","0","0","0","0","","",""
"21","Bob Bassen","24","CHI","C","6","1","1","2","1","8","1","0","0","0","1","0","0","7","14.3","",""
"22","Ken Baumgartner","23","TOT","D","65","1","5","6","-4","222","1","0","0","0","5","0","0","48","2.1","",""
"23","Robin Bawa","23","WSH","RW","5","1","0","1","-3","6","1","0","0","0","0","0","0","1","100.0","",""
"24","Barry Beck","32","LAK","D","52","1","7","8","3","53","1","0","0","0","7","0","0","36","2.8","",""
"25","Bob Beers","22","BOS","D","3","0","1","1","2","6","0","0","0","0","0","1","0","0","","",""
"26","Bruce Bell","24","EDM","D","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","",""
"27","Brian Bellows","25","MNS","LW","80","55","44","99","-3","72","33","21","1","9","24","19","1","300","18.3","",""
"28","Rick Bennett","22","NYR","LW","6","1","0","1","-4","5","1","0","0","0","0","0","0","6","16.7","",""
