rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Montreal Canadiens"1,"MTL","44"2,"26"3,"11"4,"7"5,"59"6,".670"7,"116"8,"48"9,"1.40"10,"-0.14"11,"3.73"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"2"0,"Montreal Maroons"1,"MTM","44"2,"24"3,"14"4,"6"5,"54"6,".614"7,"96"8,"77"9,"0.42"10,"-0.01"11,"3.93"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"3"0,"Boston Bruins"1,"BOS","44"2,"20"3,"13"4,"11"5,"51"6,".580"7,"77"8,"70"9,"0.10"10,"-0.06"11,"3.34"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"4"0,"Ottawa Senators"1,"OTS","44"2,"20"3,"14"4,"10"5,"50"6,".568"7,"78"8,"57"9,"0.46"10,"-0.01"11,"3.07"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"5"0,"New York Rangers"1,"NYR","44"2,"19"3,"16"4,"9"5,"47"6,".534"7,"94"8,"79"9,"0.26"10,"-0.09"11,"3.93"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"6"0,"Pittsburgh Pirates"1,"PTP","44"2,"19"3,"17"4,"8"5,"46"6,".523"7,"67"8,"76"9,"-0.22"10,"-0.02"11,"3.25"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"7"0,"Detroit Cougars"1,"DTC","44"2,"19"3,"19"4,"6"5,"44"6,".500"7,"88"8,"79"9,"0.14"10,"-0.07"11,"3.80"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"8"0,"Toronto Maple Leafs"1,"TOR","44"2,"18"3,"18"4,"8"5,"44"6,".500"7,"89"8,"88"9,"0.06"10,"0.04"11,"4.02"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"9"0,"New York Americans"1,"NYA","44"2,"11"3,"27"4,"6"5,"28"6,".318"7,"63"8,"128"9,"-1.26"10,"0.22"11,"4.34"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"10"0,"Chicago Black Hawks"1,"CBH","44"2,"7"3,"34"4,"3"5,"17"6,".193"7,"68"8,"134"9,"-1.36"10,"0.14"11,"4.59"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
