rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Montreal Canadiens"1,"MTL","44"2,"22"3,"7"4,"15"5,"59"6,".670"7,"71"8,"43"9,"0.59"10,"-0.04"11,"2.59"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"2"0,"Boston Bruins"1,"BOS","44"2,"26"3,"13"4,"5"5,"57"6,".648"7,"89"8,"52"9,"0.71"10,"-0.13"11,"3.20"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"3"0,"New York Rangers"1,"NYR","44"2,"21"3,"13"4,"10"5,"52"6,".591"7,"72"8,"65"9,"0.11"10,"-0.05"11,"3.11"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"4"0,"New York Americans"1,"NYA","44"2,"19"3,"13"4,"12"5,"50"6,".568"7,"53"8,"53"9,"0.03"10,"0.03"11,"2.41"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"5"0,"Detroit Cougars"1,"DTC","44"2,"19"3,"16"4,"9"5,"47"6,".534"7,"72"8,"63"9,"0.15"10,"-0.06"11,"3.07"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"6"0,"Toronto Maple Leafs"1,"TOR","44"2,"21"3,"18"4,"5"5,"47"6,".534"7,"85"8,"69"9,"0.35"10,"-0.01"11,"3.50"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"7"0,"Ottawa Senators"1,"OTS","44"2,"14"3,"17"4,"13"5,"41"6,".466"7,"54"8,"67"9,"-0.23"10,"0.07"11,"2.75"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"8"0,"Montreal Maroons"1,"MTM","44"2,"15"3,"20"4,"9"5,"39"6,".443"7,"67"8,"65"9,"0.07"10,"0.03"11,"3.00"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"9"0,"Pittsburgh Pirates"1,"PTP","44"2,"9"3,"27"4,"8"5,"26"6,".295"7,"46"8,"80"9,"-0.71"10,"0.06"11,"2.86"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"10"0,"Chicago Black Hawks"1,"CBH","44"2,"7"3,"29"4,"8"5,"22"6,".250"7,"33"8,"85"9,"-1.07"10,"0.11"11,"2.68"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
