rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Clarence Abel","28","NYR","D","44","3","1","4","","41","","","","","","","","","","",""
"2","Jack Arbour","29","TOR","D","10","1","0","1","","10","","","","","","","","","","",""
"3","Ty Arbour","32","CBH","LW","44","3","4","7","","32","","","","","","","","","","",""
"4","Larry Aurie","23","DTC","RW","35","1","1","2","","26","","","","","","","","","","",""
"5","Ace Bailey","25","TOR","RW","44","22","10","32","","78","","","","","","","","","","",""
"6","Pete Bellefeuille","27","DTC","RW","1","1","0","1","","0","","","","","","","","","","",""
"7","Andy Blair","20","TOR","C","44","12","15","27","","41","","","","","","","","","","",""
"8","Edmond Bouchard","36","TOT","LW","18","0","0","0","","4","","","","","","","","","","",""
"9","Frank Boucher","27","NYR","C","44","10","16","26","","8","","","","","","","","","","",""
"10","George Boucher","32","TOT","D","41","4","2","6","","70","","","","","","","","","","",""
"11","Leo Bourgeault","26","NYR","D/RW","44","2","3","5","","59","","","","","","","","","","",""
"12","Bill Boyd","30","NYR","RW","11","0","0","0","","5","","","","","","","","","","",""
"13","Punch Broadbent","36","NYA","RW","44","1","4","5","","59","","","","","","","","","","",""
"14","Bernie Brophy","23","DTC","LW","37","2","4","6","","23","","","","","","","","","","",""
"15","Bill Brydge","27","DTC","D","31","2","2","4","","59","","","","","","","","","","",""
"16","Billy Burch","28","NYA","C","44","11","5","16","","45","","","","","","","","","","",""
"17","Marty Burke","24","MTL","D","44","4","2","6","","68","","","","","","","","","","",""
"18","Bobby Burns","23","CBH","LW","7","0","0","0","","6","","","","","","","","","","",""
"19","Bill Carson","28","TOT","C","43","11","8","19","","55","","","","","","","","","","",""
"20","Gerry Carson","23","TOT","D","40","0","0","0","","9","","","","","","","","","","",""
"21","King Clancy","25","OTS","D","44","13","2","15","","89","","","","","","","","","","",""
"22","Dit Clapper","21","BOS","RW/D","40","9","2","11","","48","","","","","","","","","","",""
"23","Lionel Conacher","27","NYA","D","44","5","2","7","","132","","","","","","","","","","",""
"24","Harry Connor","24","NYA","LW","43","6","2","8","","83","","","","","","","","","","",""
"25","Bob Connors","24","DTC","LW","41","13","3","16","","68","","","","","","","","","","",""
"26","Bill Cook","32","NYR","RW","43","15","8","23","","41","","","","","","","","","","",""
"27","Bun Cook","25","NYR","LW","43","13","5","18","","70","","","","","","","","","","",""
"28","Carson Cooper","29","DTC","RW","43","18","9","27","","14","","","","","","","","","","",""
"29","Baldy Cotton","26","TOT","LW","43","4","4","8","","46","","","","","","","","","","",""
"30","Rosie Couture","23","CBH","RW","43","1","3","4","","22","","","","","","","","","","",""
"31","Danny Cox","25","TOR","LW","42","12","7","19","","14","","","","","","","","","","",""
"32","Frank Daley","19","DTC","D","5","0","0","0","","0","","","","","","","","","","",""
"33","Harold Darragh","26","PTP","RW","43","9","3","12","","6","","","","","","","","","","",""
"34","Hap Day","27","TOR","LW/D","44","6","6","12","","84","","","","","","","","","","",""
"35","Cy Denneny","37","BOS","LW","23","1","2","3","","2","","","","","","","","","","",""
"36","Herb Drury","33","PTP","LW","43","5","4","9","","49","","","","","","","","","","",""
"37","Art Duncan","37","TOR","D","39","4","4","8","","53","","","","","","","","","","",""
"38","Red Dutton","30","MTM","D","44","1","3","4","","139","","","","","","","","","","",""
"39","Babe Dye","30","NYA","RW","42","1","0","1","","17","","","","","","","","","","",""
"40","Fred Elliott","25","OTS","RW","43","2","0","2","","6","","","","","","","","","","",""
"41","Frank Finnigan","25","OTS","RW","44","15","4","19","","71","","","","","","","","","","",""
"42","Gord Fraser","27","DTC","D","14","0","0","0","","12","","","","","","","","","","",""
"43","Frank Fredrickson","33","TOT","C","43","6","8","14","","52","","","","","","","","","","",""
