rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Hank Bassen","23","CBH","12","","2","9","1","40","","","","3.33","1","720","","","","","","0","0","0","2"
"2","Ed Chadwick","22","TOR","5","","2","0","3","3","","","","0.60","2","300","","","","","","0","0","0","0"
"3","Glenn Hall","24","DET","70","","30","24","16","147","","","","2.10","12","4200","","","","","","0","0","0","14"
"4","John Henderson","22","BOS","1","","0","1","0","4","","","","4.00","0","60","","","","","","0","0","0","0"
"5","Harry Lumley","29","TOR","59","","21","28","10","157","","","","2.67","3","3527","","","","","","0","0","0","2"
"6","Gilles Mayer","25","TOR","6","","1","5","0","18","","","","3.00","0","360","","","","","","0","0","0","0"
"7","Bob Perreault","25","MTL","6","","3","3","0","12","","","","2.00","1","360","","","","","","0","0","0","0"
"8","Jacques Plante","27","MTL","64","","42","12","10","119","","","","1.86","7","3840","","","","","","0","0","0","10"
"9","Claude Pronovost","20","BOS","1","","1","0","0","0","","","","0.00","1","60","","","","","","0","0","0","2"
"10","Al Rollins","29","CBH","58","","17","30","11","171","","","","2.95","3","3480","","","","","","0","0","0","10"
"11","Terry Sawchuk","26","BOS","68","","22","33","13","177","","","","2.60","9","4080","","","","","","0","0","0","20"
"12","Lefty Wilson","36","TOR","1","","0","0","0","0","","","","0.00","0","13","","","","","","0","0","0","0"
"13","Gump Worsley","26","NYR","70","","32","28","10","198","","","","2.83","4","4200","","","","","","0","0","0","2"
