rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Bob Armstrong","24","BOS","D","68","0","12","12","","122","","","","","","","","","","",""
"2","George Armstrong","25","TOR","RW","67","16","32","48","","97","","","","","","","","","","",""
"3","Bob Bailey","24","TOR","RW","6","0","0","0","","6","","","","","","","","","","",""
"4","Earl Balfour","23","TOR","LW","59","14","5","19","","40","","","","","","","","","","",""
"5","Jim Bartlett","23","NYR","LW","12","0","1","1","","8","","","","","","","","","","",""
"6","Andy Bathgate","23","NYR","RW","70","19","47","66","","59","","","","","","","","","","",""
"7","Jean Beliveau","24","MTL","C","70","47","41","88","","143","","","","","","","","","","",""
"8","Jack Bionda","22","TOR","D","13","0","1","1","","18","","","","","","","","","","",""
"9","Leo Boivin","23","BOS","D","68","4","16","20","","80","","","","","","","","","","",""
"10","Hugh Bolton","26","TOR","D","67","4","16","20","","65","","","","","","","","","","",""
"11","Marcel Bonin","23","BOS","RW/LW","67","9","9","18","","49","","","","","","","","","","",""
"12","Butch Bouchard","36","MTL","D","36","0","0","0","","22","","","","","","","","","","",""
"13","Connie Broden","23","MTL","C","3","0","0","0","","2","","","","","","","","","","",""
"14","John Bucyk","20","DET","LW","38","1","8","9","","20","","","","","","","","","","",""
"15","Bill Burega","23","TOR","D","4","0","1","1","","4","","","","","","","","","","",""
"16","Cummy Burton","19","DET","RW","3","0","0","0","","0","","","","","","","","","","",""
"17","Larry Cahan","22","TOR","D","21","0","2","2","","46","","","","","","","","","","",""
"18","Real Chevrefils","23","TOT","LW","63","14","12","26","","34","","","","","","","","","","",""
"19","Hank Ciesla","21","CBH","C","70","8","23","31","","22","","","","","","","","","","",""
"20","Wally Clune","25","MTL","D","5","0","0","0","","6","","","","","","","","","","",""
"21","Pete Conacher","23","NYR","LW","41","11","11","22","","10","","","","","","","","","","",""
"22","Norm Corcoran","24","TOT","RW/C","25","1","3","4","","19","","","","","","","","","","",""
"23","Murray Costello","21","TOT","C","65","6","6","12","","23","","","","","","","","","","",""
"24","Dave Creighton","25","NYR","C","70","20","31","51","","43","","","","","","","","","","",""
"25","Barry Cullen","20","TOR","RW","3","0","0","0","","4","","","","","","","","","","",""
