rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Murray Bannerman","27","CBH","60","","27","25","4","215","1847","1632",".884","3.83","0","3371","","","","93","16.66","0","1","1""8"
"2","Marco Baron","25","EDM","1","","0","1","0","2","9","7",".778","3.64","0","33","","","","","","0","0","0""0"
"3","Tom Barrasso","19","BUF","54","","25","18","10","144","1274","1130",".887","2.66","5","3248","","","","90","15.79","0","6","6""41"
"4","Don Beaupre","23","MNS","31","","10","17","3","109","934","825",".883","3.69","1","1770","","","","93","8.15","0","0","0""4"
"5","Marc Behrend","24","WIN","24","","8","10","3","87","624","537",".861","4.29","1","1218","","","","111","-8.74","0","0","0""0"
"6","Tim Bernhardt","27","TOR","37","","13","19","4","136","1106","970",".877","3.74","0","2182","","","","98","2.72","0","2","2""4"
"7","Allan Bester","20","TOR","15","","3","9","1","54","430","376",".874","4.22","1","767","","","","100","-0.07","0","1","1""4"
"8","Dan Bouchard","34","QUE","29","","12","13","4","101","824","723",".877","3.49","0","1738","","","","98","2.35","0","2","2""2"
"9","Richard Brodeur","32","VAN","51","","16","27","6","228","1574","1346",".855","4.67","0","2930","","","","115","-30.58","0","1","1""4"
"10","Frank Caprice","22","VAN","28","","8","14","3","122","818","696",".851","4.81","0","1523","","","","119","-19.40","0","2","2""0"
"11","Chris Clifford","18","CBH","1","","0","0","0","0","8","8","1.000","0.00","0","20","","","","","","0","0","0""0"
"12","Jacques Cloutier","25","BUF","1","","0","0","1","4","37","33",".892","3.69","0","65","","","","","","0","1","1""0"
"13","Cleon Daskalakis","22","BOS","8","","1","2","1","24","141","117",".830","4.98","0","289","","","","","","0","0","0""0"
"14","Michel Dion","30","PIT","10","","3","6","0","43","316","273",".864","4.67","0","553","","","","","","0","1","1""0"
"15","Don Edwards","29","CGY","34","","11","15","2","115","858","743",".866","4.08","1","1691","","","","107","-7.39","0","0","0""4"
"16","Darren Eliot","23","LAK","33","","12","11","6","137","944","807",".855","4.37","0","1882","","","","116","-18.60","0","0","0""0"
"17","Brian Ford","23","PIT","8","","2","6","0","48","292","244",".836","6.30","0","457","","","","","","0","0","0""0"
"18","Bob Froese","26","PHI","17","","13","2","0","37","427","390",".913","2.41","1","923","","","","69","16.56","0","1","1""2"
"19","Grant Fuhr","22","EDM","46","","26","8","7","165","1426","1261",".884","3.87","1","2559","","","","92","13.86","0","3","3""6"
"20","John Garrett","33","VAN","10","","1","5","0","44","243","199",".819","6.49","0","407","","","","","","0","0","0""14"
"21","Mario Gosselin","21","QUE","35","","19","11","3","109","887","778",".877","3.34","1","1960","","","","98","2.25","0","0","0""2"
"22","Glen Hanlon","27","NYR","44","","14","20","7","175","1439","1264",".878","4.18","0","2510","","","","97","5.49","0","0","0""4"
"23","Brian Hayward","24","WIN","61","","33","17","7","220","1814","1594",".879","3.84","0","3436","","","","97","7.52","0","4","4""10"
"24","Rick Heinz","29","STL","2","","0","0","0","3","26","23",".885","2.57","0","70","","","","","","0","0","0""0"
