rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Red Almas","28","DET","1","","0","0","1","3","","","","3.00","0","60","","","","","","0","0","0","0"
"2","Glenn Hall","21","DET","6","","4","1","1","10","","","","1.67","1","360","","","","","","0","0","0","0"
"3","Jim Henry","32","BOS","70","","28","29","13","172","","","","2.46","8","4200","","","","","","0","0","0","0"
"4","Harry Lumley","26","TOR","70","","27","30","13","167","","","","2.39","10","4200","","","","","","0","0","0","18"
"5","Gerry McNeil","26","MTL","66","","25","23","18","140","","","","2.12","10","3960","","","","","","0","0","0","0"
"6","Hal Murphy","25","MTL","1","","1","0","0","4","","","","4.00","0","60","","","","","","0","0","0","0"
"7","Jacques Plante","24","MTL","3","","2","0","1","4","","","","1.33","0","180","","","","","","0","0","0","0"
"8","Chuck Rayner","32","NYR","20","","4","8","8","58","","","","2.90","1","1200","","","","","","0","0","0","2"
"9","Al Rollins","26","CBH","70","","27","28","15","175","","","","2.50","6","4200","","","","","","0","0","0","0"
"10","Terry Sawchuk","23","DET","63","","32","15","16","120","","","","1.90","9","3780","","","","","","0","0","0","5"
"11","Gump Worsley","23","NYR","50","","13","29","8","153","","","","3.06","2","3000","","","","","","0","0","0","2"
