rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Gene Achtymichuk","24","MTL","C","3","0","0","0","","0","","","","","","","","","","",""
"2","Gary Aldcorn","21","TOR","LW","22","5","1","6","","4","","","","","","","","","","",""
"3","Dale Anderson","24","DET","D","13","0","0","0","","6","","","","","","","","","","",""
"4","Al Arbour","24","DET","D","44","1","6","7","","38","","","","","","","","","","",""
"5","Bob Armstrong","25","BOS","D","57","1","15","16","","79","","","","","","","","","","",""
"6","George Armstrong","26","TOR","RW","54","18","26","44","","37","","","","","","","","","","",""
"7","Ralph Backstrom","19","MTL","C","3","0","0","0","","0","","","","","","","","","","",""
"8","Murray Balfour","20","MTL","RW","2","0","0","0","","2","","","","","","","","","","",""
"9","Andy Bathgate","24","NYR","RW","70","27","50","77","","60","","","","","","","","","","",""
"10","Bob Baun","20","TOR","D","20","0","5","5","","37","","","","","","","","","","",""
"11","Bob Beckett","20","BOS","C","18","0","3","3","","2","","","","","","","","","","",""
"12","Jean Beliveau","25","MTL","C","69","33","51","84","","105","","","","","","","","","","",""
"13","Jack Bionda","23","BOS","D","35","2","3","5","","43","","","","","","","","","","",""
"14","Leo Boivin","24","BOS","D","55","2","8","10","","55","","","","","","","","","","",""
"15","Hugh Bolton","27","TOR","D","6","0","0","0","","2","","","","","","","","","","",""
"16","John Bucyk","21","DET","LW","66","10","11","21","","41","","","","","","","","","","",""
"17","Jack Caffery","22","BOS","C","47","2","2","4","","20","","","","","","","","","","",""
"18","Larry Cahan","23","NYR","D","61","5","4","9","","65","","","","","","","","","","",""
"19","Dick Cherry","19","BOS","D","6","0","0","0","","4","","","","","","","","","","",""
"20","Real Chevrefils","24","BOS","LW","70","31","17","48","","38","","","","","","","","","","",""
"21","Hank Ciesla","22","CBH","C","70","10","8","18","","28","","","","","","","","","","",""
"22","Bruce Cline","25","NYR","RW","30","2","3","5","","10","","","","","","","","","","",""
"23","Murray Costello","22","DET","C","3","0","0","0","","0","","","","","","","","","","",""
"24","Dave Creighton","26","NYR","C","70","18","21","39","","42","","","","","","","","","","",""
"25","Glen Cressman","22","MTL","C","4","0","0","0","","2","","","","","","","","","","",""
"26","Barry Cullen","21","TOR","RW","51","6","10","16","","30","","","","","","","","","","",""
"27","Brian Cullen","23","TOR","C","46","8","12","20","","27","","","","","","","","","","",""
"28","Floyd Curry","31","MTL","RW","70","7","9","16","","20","","","","","","","","","","",""
"29","Ian Cushenan","23","CBH","D","11","0","0","0","","13","","","","","","","","","","",""
"30","Billy Dea","23","DET","RW","69","15","15","30","","14","","","","","","","","","","",""
