rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Johnny Bower","32","NYR","2","","0","2","0","6","","","","3.00","0","120","","","","","","0","0","0","0"
"2","Ed Chadwick","23","TOR","70","","21","34","15","186","","","","2.66","5","4200","","","","","","0","0","0","0"
"3","Norm Defelice","24","BOS","10","","3","5","2","30","","","","3.00","0","600","","","","","","0","0","0","2"
"4","Glenn Hall","25","DET","70","","38","20","12","155","","","","2.21","4","4200","","","","","","0","0","0","2"
"5","Gerry McNeil","30","MTL","9","","4","5","0","31","","","","3.44","0","540","","","","","","0","0","0","2"
"6","Jacques Plante","28","MTL","61","","31","18","12","122","","","","2.00","9","3660","","","","","","0","0","0","16"
"7","Al Rollins","30","CBH","70","","16","39","15","224","","","","3.20","3","4200","","","","","","0","1","1","9"
"8","Terry Sawchuk","27","BOS","34","","18","10","6","81","","","","2.38","2","2040","","","","","","0","0","0","14"
"9","Don Simmons","25","BOS","26","","13","9","4","63","","","","2.42","4","1560","","","","","","0","0","0","0"
"10","Gump Worsley","27","NYR","68","","26","28","14","216","","","","3.18","3","4080","","","","","","0","0","0","19"
