rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Hank Bassen","31","DET","1","","0","1","0","4","","","","4.00","0","60","","","","","","0","0","0","0"
"2","Johnny Bower","39","TOR","51","","24","16","11","106","","","","2.11","5","3009","","","","","","0","0","0","4"
"3","Roger Crozier","21","DET","15","","5","6","4","51","","","","3.40","2","900","","","","","","0","0","0","0"
"4","Denis DeJordy","25","CBH","6","","2","3","1","19","","","","3.35","0","340","","","","","","0","0","0","0"
"5","Harrison Gray","22","DET","1","","0","1","0","5","","","","7.50","0","40","","","","","","0","0","0","0"
"6","Glenn Hall","32","CBH","65","","34","19","11","148","","","","2.30","7","3860","","","","","","0","2","2","2"
"7","Charlie Hodge","30","MTL","62","","33","18","11","140","","","","2.26","8","3720","","","","","","0","0","0","2"
"8","Eddie Johnston","28","BOS","70","","18","40","12","211","","","","3.01","6","4200","","","","","","0","0","0","0"
"9","Jean-Guy Morissette","26","MTL","1","","0","1","0","4","","","","6.67","0","36","","","","","","0","0","0","0"
"10","Jacques Plante","35","NYR","65","","22","36","7","220","","","","3.38","3","3900","","","","","","0","1","1","6"
"11","Pat Rupp","21","DET","1","","0","1","0","4","","","","4.00","0","60","","","","","","0","0","0","0"
"12","Terry Sawchuk","34","DET","53","","25","20","7","138","","","","2.64","5","3140","","","","","","0","0","0","0"
"13","Don Simmons","32","TOR","21","","9","9","1","63","","","","3.17","3","1191","","","","","","0","0","0","0"
"14","Gilles Villemure","23","NYR","5","","0","2","3","18","","","","3.60","0","300","","","","","","0","0","0","0"
"15","Gump Worsley","34","MTL","8","","3","2","2","22","","","","2.97","1","444","","","","","","0","0","0","0"
