rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Montreal Canadiens"1,"MTL","70"2,"36"3,"21"4,"13"5,"85"6,".607"7,"209"8,"167"9,"0.50"10,"-0.10"11,"5.37"12,"46"13,"294"14,"15.65"15,"42"16,"248"17,"83.06"18,"7"19,"7"20,""21,""22,""23,""24,""
"2"0,"Chicago Black Hawks"1,"CBH","70"2,"36"3,"22"4,"12"5,"84"6,".600"7,"218"8,"169"9,"0.58"10,"-0.12"11,"5.53"12,"51"13,"279"14,"18.28"15,"43"16,"301"17,"85.71"18,"8"19,"2"20,""21,""22,""23,""24,""
"3"0,"Toronto Maple Leafs"1,"TOR","70"2,"33"3,"25"4,"12"5,"78"6,".557"7,"192"8,"172"9,"0.24"10,"-0.05"11,"5.20"12,"33"13,"244"14,"13.52"15,"30"16,"266"17,"88.72"18,"7"19,"6"20,""21,""22,""23,""24,""
"4"0,"Detroit Red Wings"1,"DET","70"2,"30"3,"29"4,"11"5,"71"6,".507"7,"191"8,"204"9,"-0.16"10,"0.03"11,"5.64"12,"42"13,"240"14,"17.50"15,"36"16,"267"17,"86.52"18,"2"19,"5"20,""21,""22,""23,""24,""
"5"0,"New York Rangers"1,"NYR","70"2,"22"3,"38"4,"10"5,"54"6,".386"7,"186"8,"242"9,"-0.67"10,"0.13"11,"6.11"12,"40"13,"253"14,"15.81"15,"44"16,"206"17,"78.64"18,"3"19,"6"20,""21,""22,""23,""24,""
"6"0,"Boston Bruins"1,"BOS","70"2,"18"3,"40"4,"12"5,"48"6,".343"7,"170"8,"212"9,"-0.50"10,"0.10"11,"5.46"12,"28"13,"220"14,"12.73"15,"45"16,"242"17,"81.40"18,"3"19,"4"20,""21,""22,""23,""24,""
