rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Montreal Canadiens"1,"MTL","80"2,"59"3,"10"4,"11"5,"129"6,".806"7,"359"8,"183"9,"2.06"10,"-0.14"11,"6.78"12,"73"13,"229"14,"31.88"15,"40"16,"211"17,"81.04"18,"9"19,"1"20,"2621"21,"13.7"22,""23,""24,""
"2"0,"Boston Bruins"1,"BOS","80"2,"51"3,"18"4,"11"5,"113"6,".706"7,"333"8,"218"9,"1.37"10,"-0.07"11,"6.89"12,"49"13,"242"14,"20.25"15,"53"16,"296"17,"82.09"18,"7"19,"2"20,"2425"21,"13.7"22,""23,""24,""
"3"0,"New York Islanders"1,"NYI","80"2,"48"3,"17"4,"15"5,"111"6,".694"7,"334"8,"210"9,"1.47"10,"-0.08"11,"6.80"12,"71"13,"227"14,"31.28"15,"45"16,"272"17,"83.46"18,"7"19,"6"20,"2490"21,"13.4"22,""23,""24,""
"4"0,"Buffalo Sabres"1,"BUF","80"2,"44"3,"19"4,"17"5,"105"6,".656"7,"288"8,"215"9,"0.90"10,"-0.01"11,"6.29"12,"52"13,"234"14,"22.22"15,"31"16,"218"17,"85.78"18,"7"19,"3"20,"2480"21,"11.6"22,""23,""24,""
"5"0,"Philadelphia Flyers"1,"PHI","80"2,"45"3,"20"4,"15"5,"105"6,".656"7,"296"8,"200"9,"1.12"10,"-0.08"11,"6.20"12,"51"13,"219"14,"23.29"15,"66"16,"340"17,"80.59"18,"18"19,"5"20,"2637"21,"11.2"22,""23,""24,""
"6"0,"Toronto Maple Leafs"1,"TOR","80"2,"41"3,"29"4,"10"5,"92"6,".575"7,"271"8,"237"9,"0.43"10,"0.01"11,"6.35"12,"57"13,"261"14,"21.84"15,"55"16,"295"17,"81.36"18,"5"19,"7"20,"2374"21,"11.4"22,""23,""24,""
"7"0,"Atlanta Flames"1,"ATF","80"2,"34"3,"27"4,"19"5,"87"6,".544"7,"274"8,"252"9,"0.28"10,"0.00"11,"6.58"12,"43"13,"195"14,"22.05"15,"51"16,"264"17,"80.68"18,"4"19,"4"20,"2338"21,"11.7"22,""23,""24,""
"8"0,"Chicago Black Hawks"1,"CBH","80"2,"32"3,"29"4,"19"5,"83"6,".519"7,"230"8,"220"9,"0.05"10,"-0.07"11,"5.63"12,"43"13,"205"14,"20.98"15,"46"16,"295"17,"84.41"18,"4"19,"3"20,"2337"21,"9.8"22,""23,""24,""
"9"0,"Detroit Red Wings"1,"DET","80"2,"32"3,"34"4,"14"5,"78"6,".488"7,"252"8,"266"9,"-0.15"10,"0.02"11,"6.48"12,"59"13,"293"14,"20.14"15,"64"16,"296"17,"78.38"18,"10"19,"7"20,"2273"21,"11.1"22,""23,""24,""
"10"0,"Los Angeles Kings"1,"LAK","80"2,"31"3,"34"4,"15"5,"77"6,".481"7,"243"8,"245"9,"-0.01"10,"0.01"11,"6.10"12,"50"13,"254"14,"19.69"15,"46"16,"236"17,"80.51"18,"3"19,"6"20,"2518"21,"9.7"22,""23,""24,""
