rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Chicago Black Hawks"1,"CBH","70"2,"41"3,"17"4,"12"5,"94"6,".671"7,"264"8,"170"9,"1.12"10,"-0.22"11,"6.20"12,"51"13,"232"14,"21.98"15,"37"16,"234"17,"84.19"18,"10"19,"3"20,""21,""22,""23,""24,""
"2"0,"Montreal Canadiens"1,"MTL","70"2,"32"3,"25"4,"13"5,"77"6,".550"7,"202"8,"188"9,"0.17"10,"-0.03"11,"5.57"12,"50"13,"248"14,"20.16"15,"31"16,"237"17,"86.92"18,"3"19,"4"20,""21,""22,""23,""24,""
"3"0,"Toronto Maple Leafs"1,"TOR","70"2,"32"3,"27"4,"11"5,"75"6,".536"7,"204"8,"211"9,"-0.08"10,"0.02"11,"5.93"12,"37"13,"237"14,"15.61"15,"56"16,"240"17,"76.67"18,"6"19,"6"20,""21,""22,""23,""24,""
"4"0,"New York Rangers"1,"NYR","70"2,"30"3,"28"4,"12"5,"72"6,".514"7,"188"8,"189"9,"-0.01"10,"0.00"11,"5.39"12,"35"13,"199"14,"17.59"15,"30"16,"199"17,"84.92"18,"4"19,"4"20,""21,""22,""23,""24,""
"5"0,"Detroit Red Wings"1,"DET","70"2,"27"3,"39"4,"4"5,"58"6,".414"7,"212"8,"241"9,"-0.35"10,"0.07"11,"6.47"12,"46"13,"230"14,"20.00"15,"46"16,"246"17,"81.30"18,"6"19,"7"20,""21,""22,""23,""24,""
"6"0,"Boston Bruins"1,"BOS","70"2,"17"3,"43"4,"10"5,"44"6,".314"7,"182"8,"253"9,"-0.85"10,"0.17"11,"6.21"12,"34"13,"250"14,"13.60"15,"53"16,"240"17,"77.92"18,"4"19,"9"20,""21,""22,""23,""24,""
