rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Johnny Bower","34","TOR","39","","15","17","7","106","","","","2.72","3","2340","","","","","","0","0","0""2"
"2","Ed Chadwick","25","TOR","31","","12","15","4","92","","","","2.97","3","1860","","","","","","0","0","0""0"
"3","Claude Cyr","19","MTL","1","","0","0","0","1","","","","3.00","0","20","","","","","","0","0","0""0"
"4","Bruce Gamble","20","NYR","2","","0","2","0","6","","","","3.00","0","120","","","","","","0","0","0""0"
"5","Glenn Hall","27","CBH","70","","28","29","13","208","","","","2.97","1","4200","","","","","","0","0","0""0"
"6","Charlie Hodge","25","MTL","2","","1","1","0","6","","","","3.00","0","120","","","","","","0","0","0""0"
"7","Don Keenan","20","BOS","1","","0","1","0","4","","","","4.00","0","60","","","","","","0","0","0""0"
"8","Julian Klymkiw","25","NYR","1","","0","0","0","2","","","","6.32","0","19","","","","","","0","0","0""0"
"9","Harry Lumley","32","BOS","11","","8","2","1","27","","","","2.45","1","660","","","","","","0","0","0""0"
"10","Marcel Paille","26","NYR","1","","0","0","1","4","","","","4.00","0","60","","","","","","0","0","0""0"
"11","Bob Perreault","28","DET","3","","2","1","0","9","","","","3.00","1","180","","","","","","0","0","0""0"
"12","Jacques Plante","30","MTL","67","","38","16","13","144","","","","2.16","9","4000","","","","","","0","1","1""11"
"13","Claude Pronovost","23","MTL","2","","0","1","0","7","","","","7.00","0","60","","","","","","0","0","0""0"
"14","Terry Sawchuk","29","DET","67","","23","36","8","207","","","","3.09","5","4020","","","","","","0","0","0""12"
"15","Don Simmons","27","BOS","58","","24","26","8","183","","","","3.16","3","3480","","","","","","0","0","0""4"
"16","Gump Worsley","29","NYR","67","","26","30","11","198","","","","2.97","2","4001","","","","","","0","0","0""10"
